gene_id,mean_PSI_g_AM2,mean_PSI_w_AM2,mean_PSI_g_AM5,mean_PSI_w_AM5,mean_PSI_g_AM8,mean_PSI_w_AM8,mean_PSI_g_AM11,mean_PSI_w_AM11,mean_PSI_g_PM2,mean_PSI_w_PM2,mean_PSI_g_PM5,mean_PSI_w_PM5,mean_PSI_g_PM8,mean_PSI_w_PM8,mean_PSI_g_PM11,mean_PSI_w_PM11
000000F_DK2_H1.106,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1
000000F_DK2_H1.108,0,0,0,0.0075,0,0,0,0.008,0,0,0,0,0,0,0,0.005
000000F_DK2_H1.109,0.019,0.011249999999999994,0.012416666666666663,0.01208333333333333,0.015749999999999997,0.016916666666666667,0.014083333333333333,0.011583333333333327,0.014833333333333327,0.006166666666666665,0.02408333333333333,0.004499999999999995,0.00683333333333333,0.010416666666666663,0.014666666666666665,0.008416666666666663
000000F_DK2_H1.11,0.00133333333333333,0.00666666666666666,0.00333333333333333,0.00133333333333333,0.00866666666666666,0.00466666666666666,0.00333333333333333,0.00366666666666666,0.00166666666666666,0.00233333333333333,0.00266666666666666,0.00133333333333333,0.002,0.003,6.666666666666666e-4,0.00466666666666666
000000F_DK2_H1.111,0.188,0.040833333333333326,0.04583333333333334,0.05416666666666667,0.0815,0.10416666666666667,0,0.03833333333333333,0.051666666666666666,0.031,0.05083333333333333,0.02266666666666667,0,0.036333333333333336,0.011166666666666665,0.0655
000000F_DK2_H1.112,0.010166666666666668,0.02058333333333333,0.01383333333333333,0.018166666666666664,0.0033333333333333296,0.011416666666666665,0.011166666666666662,0.006583333333333332,0.010416666666666663,0.013999999999999999,0.010833333333333334,0.008416666666666663,0.005833333333333333,0.010333333333333333,0.008916666666666665,0.01916666666666667
000000F_DK2_H1.115,0.0012499999999999976,0.00175,0.0034999999999999983,9.999999999999974e-4,0.004416666666666665,0.0027499999999999972,0.00358333333333333,0.0012499999999999976,0,7.499999999999975e-4,0.00125,8.333333333333333e-5,0,0.0013333333333333326,0.0064166666666666625,0
000000F_DK2_H1.119,0.0016666666666666642,0.012833333333333332,0.0019999999999999974,0.00583333333333333,0.0034166666666666625,0.010499999999999999,0.0031666666666666627,0.0022500000000000003,0.0022499999999999977,5.833333333333316e-4,0.0029999999999999975,0.0022499999999999985,0,0.007916666666666666,0.006333333333333333,0.007916666666666662
000000F_DK2_H1.12,0.00358333333333333,0.02658333333333333,0.024999999999999994,0.015499999999999998,0.00758333333333333,0.025166666666666664,0.038500000000000006,0.023166666666666665,0.008166666666666666,0.017249999999999998,0.03966666666666667,0.013416666666666664,0.021833333333333333,0.011333333333333332,0.013999999999999999,0.016666666666666666
000000F_DK2_H1.120,0.011999999999999995,0.003,0.008,0.00233333333333333,0.006,0.00133333333333333,0.002166666666666665,0.11316666666666668,0.0165,0.056666666666666664,0.0035,1.6666666666666666e-4,0.001,0.001666666666666665,5e-4,0.00133333333333333
000000F_DK2_H1.122,0.008555555555555554,0.003444444444444443,0.009666666666666664,0.00122222222222222,0.019444444444444445,0.00311111111111111,0.0027777777777777757,0.0022222222222222214,0.005111111111111107,0.0027777777777777753,0.00422222222222222,0.0026666666666666644,0.0028888888888888888,0.002,0.003,0.002444444444444443
000000F_DK2_H1.125,0.2951666666666667,0.31233333333333335,0.2708333333333333,0.26566666666666666,0.017666666666666667,0.27058333333333334,0.059222222222222225,0.25,0.01911111111111111,0.3035,0.2813333333333333,0.25,0.26566666666666666,0.00433333333333333,0.2614166666666667,0.35344444444444445
000000F_DK2_H1.126,0.111,0,0.14266666666666666,0.08566666666666667,0.07133333333333333,0.021,NA,0.08333333333333333,0.22433333333333336,0.10866666666666666,0.16666666666666666,0.06666666666666667,0.3333333333333333,0.16366666666666668,0.07100000000000001,0.15966666666666668
000000F_DK2_H1.127,0,0,0.022222222222222223,0.011333333333333329,0,0.030888888888888886,0,0.02083333333333333,0.027,0.017111111111111108,0,0,0.013777777777777778,0,0.015777777777777776,0.023555555555555555
000000F_DK2_H1.128,0.0015833333333333324,0.030166666666666665,0.005833333333333333,0.0028333333333333327,0.0033333333333333327,0,6.66666666666665e-4,0,0.032583333333333325,0,0,0.0016666666666666668,0,0.00683333333333333,0.00322222222222222,0.0014999999999999974
000000F_DK2_H1.131,0.01433333333333333,0.01133333333333333,0.01333333333333333,0.00966666666666666,0.036,0.01666666666666666,0.018,0.01333333333333333,0.003,0.01766666666666666,0.01433333333333333,0.015,0.006,0.02066666666666666,0.01933333333333333,0.01633333333333333
000000F_DK2_H1.16,0,0.002666666666666665,0.011666666666666665,0.001666666666666665,0.005999999999999995,0,0,0,0,0.008666666666666665,0,0.001666666666666665,0,0,0,0.002
000000F_DK2_H1.19,0.0037499999999999973,0.0022500000000000003,0.0017499999999999977,0.0011666666666666626,0,0.004166666666666665,0,8.333333333333325e-4,0.002666666666666665,0.0030833333333333325,0,0.00333333333333333,4.16666666666665e-4,0.002916666666666665,0.0020833333333333303,0.00325
000000F_DK2_H1.2,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
000000F_DK2_H1.21,0.011066666666666666,0.04793333333333333,0.02253333333333333,0.04466666666666667,0.02093333333333333,0.04446666666666666,0.03613333333333333,0.028199999999999996,0.031066666666666663,0.03273333333333333,0.03993333333333333,0.039266666666666665,0.021,0.023799999999999998,0.014933333333333331,0.03386666666666667
000000F_DK2_H1.23,0,0.01966666666666667,0.00366666666666666,0.01133333333333333,0.00433333333333333,0.02366666666666667,0.02899999999999999,0.02266666666666667,0.01066666666666666,0.005,0.03966666666666666,0.01566666666666666,0,0.00533333333333333,0.00666666666666666,0.019
000000F_DK2_H1.26,0.10400000000000001,0.1241111111111111,0.08861111111111111,0.13977777777777778,0.12661111111111112,0.13583333333333333,0.14094444444444446,0.13822222222222225,0.16783333333333333,0.14116666666666666,0.17094444444444445,0.11438888888888889,0.11733333333333333,0.13305555555555557,0.13,0.14905555555555555
000000F_DK2_H1.27,0.0265,0.03716666666666667,0.023999999999999997,0.03916666666666667,0.03683333333333333,0.044,0.014166666666666664,0.03166666666666667,0.0385,0.034166666666666665,0.02333333333333333,0.029999999999999995,0.030999999999999993,0.03716666666666667,0.011,0.023833333333333328
000000F_DK2_H1.28,0.0029999999999999957,0.0015555555555555557,0.0019999999999999966,0.0017777777777777757,0.0017777777777777733,0.0013333333333333322,8.888888888888889e-4,0.0011111111111111068,0.0015555555555555557,0.0011111111111111111,0.0021111111111111066,0.0023333333333333322,0.00122222222222222,0.0019999999999999966,0.00111111111111111,0.0011111111111111111
000000F_DK2_H1.3,0.04811111111111111,0.02322222222222222,0.03666666666666667,0.021666666666666664,0.0013333333333333333,0.02055555555555555,0.00422222222222222,0.06199999999999999,0.08588888888888889,0.009999999999999997,0.007,0.029333333333333333,0,0.01911111111111111,0.0035555555555555536,0.01544444444444444
000000F_DK2_H1.30,0.013,0.016,0.00833333333333333,0.011,0.01833333333333333,0.00266666666666666,0.02,0.01733333333333333,0.00633333333333333,0.01133333333333333,0.01233333333333333,0.011,0,0,0.01433333333333333,0.00599999999999999
000000F_DK2_H1.31,0.0036666666666666653,0.001166666666666665,0.00133333333333333,0.001666666666666665,0.00633333333333333,5e-4,8.333333333333317e-4,8.3333333333333e-4,0.001166666666666665,0.0014999999999999968,6.666666666666666e-4,5e-4,0.001166666666666665,6.66666666666665e-4,0.0026666666666666635,0.0013333333333333333
000000F_DK2_H1.33,0.020444444444444442,0.06355555555555556,0.06311111111111112,0.03677777777777778,0.034555555555555555,0.02644444444444444,0.086,0.05355555555555556,0.0788888888888889,0.058444444444444445,0.04655555555555555,0.02511111111111111,0.03922222222222222,0.02855555555555555,0.06644444444444444,0.05366666666666666
000000F_DK2_H1.35,0.03711111111111111,0.04777777777777778,0.04655555555555555,0.04577777777777778,0.10144444444444445,0.055,0.017666666666666664,0.041222222222222216,0.058222222222222224,0.04533333333333333,0.034222222222222216,0.03788888888888889,0.032,0.04966666666666666,0.09011111111111111,0.05333333333333334
000000F_DK2_H1.38,0,0,0,0,0.037,0,0,0,0,0,0,0,0,0,0,0
000000F_DK2_H1.39,0.0065,0.04733333333333334,0.0155,0.08483333333333333,0.04766666666666667,0.06033333333333333,0.034999999999999996,0.030333333333333334,0.06283333333333334,0.047833333333333325,0.03683333333333333,0.05083333333333333,0.037,0.049,0.027166666666666665,0.049166666666666664
000000F_DK2_H1.4,0.04133333333333333,0.04666666666666666,0.034999999999999996,0.07416666666666667,0.15333333333333332,0.19433333333333333,0.19999999999999998,0.0555,0.033666666666666664,0.11566666666666667,0.115,0.027333333333333334,0.17933333333333334,0.11783333333333333,0.23266666666666663,0.10250000000000001
000000F_DK2_H1.40,0.14647619047619048,0.1423333333333333,0.12952380952380954,0.14757142857142858,0.14604761904761904,0.15023809523809523,0.12319047619047618,0.14138095238095238,0.14376190476190476,0.13257142857142856,0.1361904761904762,0.13752380952380952,0.1445714285714286,0.13633333333333333,0.13895238095238097,0.12266666666666666
000000F_DK2_H1.45,0,0.5101666666666667,0.5,0.5,0.5,0.5096666666666667,0.504,0.5,0.5,0,0,0.5,0,0.5,NA,0.5
000000F_DK2_H1.48,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1
000000F_DK2_H1.5,0.010999999999999996,0.029333333333333333,0.023888888888888887,0.033555555555555554,0.02588888888888889,0.05122222222222222,0.00833333333333333,0.04177777777777778,0.018333333333333333,0.02311111111111111,0.015555555555555555,0.04577777777777778,0.006666666666666664,0.02844444444444444,0.01622222222222222,0.02211111111111111
