"","000001F_DK2_H2.32","000001F_DK2_H2.36","000001F_DK2_H2.44","000004F_DK2_H1.78","000004F_DK2_H2.61","000006F_DK2_H1.15","000006F_DK2_H1.41","000006F_DK2_H2.42","000011F_DK2_H1.64","000011F_DK2_H2.7","000012F_DK2_H2.39","000012F_DK2_H2.73","000013F_DK2_H1.16","000013F_DK2_H1.46","000015F_DK2_H1.33","000015F_DK2_H2.11","000018F_DK2_H1.57","000018F_DK2_H2.75","000020F_DK2_H1.17","000022F_DK2_H1.18","000024F_DK2_H1.74","000026F_DK2_H1.37","000026F_DK2_H1.70","000026F_DK2_H1.72","000027F_DK2_H1.70","000028F_DK2_H1.69","000028F_DK2_H2.52","000035F_DK2_H1.42","000036F_DK2_H1.14","000037F_DK2_H2.25","000041F_DK2_H1.7","000041F_DK2_H1.78","000044F_DK2_H1.82","000044F_DK2_H2.2","000046F_DK2_H1.40","000048F_DK2_H1.54","000049F_DK2_H2.58","000052F_DK2_H2.24","000052F_DK2_H2.65","000054F_DK2_H1.10","000056F_DK2_H2.58","000057F_DK2_H1.49","000057F_DK2_H2.18","000057F_DK2_H2.58","000057F_DK2_H2.70","000059F_DK2_H1.73","000061F_DK2_H2.45","000063F_DK2_H1.69","000063F_DK2_H2.9","000065F_DK2_H1.27","000068F_DK2_H1.80","000068F_DK2_H2.36","000074F_DK2_H1.2","000074F_DK2_H2.17","000074F_DK2_H2.66","000075F_DK2_H1.51","000076F_DK2_H1.44","000079F_DK2_H1.10","000079F_DK2_H2.8","000080F_DK2_H1.63","000080F_DK2_H2.58","000082F_DK2_H1.29","000083F_DK2_H2.33","000085F_DK2_H1.65","000089F_DK2_H2.22","000091F_DK2_H1.48","000091F_DK2_H1.51","000093F_DK2_H1.42","000096F_DK2_H2.26","000097F_DK2_H1.55","000099F_DK2_H2.1","000102F_DK2_H2.16","000106F_DK2_H2.19","000106F_DK2_H2.36","000107F_DK2_H1.75","000107F_DK2_H2.23","000108F_DK2_H1.23","000112F_DK2_H2.17","000113F_DK2_H2.28","000113F_DK2_H2.8","000116F_DK2_H1.22","000120F_DK2_H2.42","000123F_DK2_H1.33","000123F_DK2_H1.7","000126F_DK2_H1.63","000126F_DK2_H2.20","000126F_DK2_H2.21","000127F_DK2_H2.18","000130F_DK2_H1.39","000131F_DK2_H1.19","000134F_DK2_H1.39","000136F_DK2_H2.38","000139F_DK2_H1.43","000139F_DK2_H2.39","000141F_DK2_H1.23","000141F_DK2_H1.33","000149F_DK2_H2.22","000150F_DK2_H2.24","000151F_DK2_H1.4","000153F_DK2_H2.3","000154F_DK2_H1.15","000158F_DK2_H2.26","000160F_DK2_H1.22","000161F_DK2_H2.30","000166F_DK2_H1.20","000175F_DK2_H1.17","000175F_DK2_H2.12","000178F_DK2_H2.49","000179F_DK2_H1.1","000185F_DK2_H2.16","000191F_DK2_H2.52","000193F_DK2_H2.31","000196F_DK2_H2.24","000203F_DK2_H2.18","000204F_DK2_H2.10","000208F_DK2_H1.18","000211F_DK2_H1.16","000216F_DK2_H2.14","000226F_DK2_H1.20","000250F_DK2_H1.11","000254F_DK2_H1.6","000254F_DK2_H2.9","000257F_DK2_H1.14","000259F_DK2_H2.17","000261F_DK2_H2.6","000273F_DK2_H1.12","000279F_DK2_H1.3","000281F_DK2_H2.17","000282F_DK2_H1.6","000287F_DK2_H1.9","000289F_DK2_H2.27","000290F_DK2_H1.17","000301F_DK2_H1.15","000316F_DK2_H2.11","000331F_DK2_H1.14","000342F_DK2_H1.22","000356F_DK2_H2.7","000365F_DK2_H1.4","000366F_DK2_H1.6","000381F_DK2_H1.6","000390F_DK2_H1.8","000410F_DK2_H1.7","000423F_DK2_H1.5","000425F_DK2_H1.4","000487F_DK2_H1.6","000493F_DK2_H1.12","000500F_DK2_H2.2"
"g_AM2_1",9.37094760301217,8.09617577449527,9.11027572788377,8.14131589053792,9.89690092701743,8.42469963720185,9.1326281071913,6.72012789279387,7.68389490744925,7.72716740910046,6.87410621720932,10.4296145681137,5.41163380665986,6.06891196450324,7.97753888263122,6.41485859546734,9.23240954479327,8.81694083851717,7.34021039499807,10.0914783829997,6.73780630503919,6.71864048713038,8.57196097504095,7.65396998441593,10.5327602211843,7.59811006159827,10.3935553452131,8.33334969024062,8.47271968877479,7.73635511507964,9.97310696274667,9.93277279709135,7.00191741716551,6.81235104130343,7.47186007210377,7.47745131867639,8.42982189255196,9.67339784246074,5.55962761184688,6.28816457930883,9.4810205025612,4.57572351198246,8.46599925364404,5.53075331003003,8.97409158579204,7.15929679874809,7.4318207427279,8.02379349824897,7.09907995406297,7.99097423596719,8.07492914778755,7.44125948982117,6.76801088445417,6.9583730816598,6.55396834136673,8.6242240810887,7.65513765524819,6.61688091805666,9.13767539517524,5.70505851971526,6.7319481575882,9.15891147952125,8.02055961950563,8.54955073883316,8.01609589099188,6.12973582384794,8.81730594782413,6.40268340869177,8.03143230468607,6.8917876499056,4.52363631793234,8.47452134652828,8.32442587116974,6.28587263868841,7.25688521176951,4.93438222394617,8.59706991328674,8.41628553283826,6.88802500142652,9.97975005504396,6.22679732371806,10.7306224315397,6.87665135767754,9.57076306588451,7.76237458134167,10.5636017090587,8.04139527863633,8.78597408649618,5.50102043065773,7.87292069154513,5.91846565093688,7.44270372977968,11.7705191227947,9.50635520057686,7.63092356401244,4.73923481740959,5.96063702448378,10.0835350457731,7.03391797028245,10.0683972320374,9.36568765078298,5.81008607169058,8.25707099312319,6.21946791276798,6.32192787197826,8.60002290944507,9.02177543089839,7.91158509374944,6.6884181093323,8.22458807327439,10.5277902138832,6.67139804600112,10.7207412790953,8.41710290216202,6.48870553739678,6.4348268447896,6.01021167823884,10.2876907646534,7.56991821081112,3.56944292490181,6.77366212025555,6.03115098849572,6.60193820994828,7.71405111714674,6.7722523025279,8.66010286289037,7.2033397888166,7.43908921140681,7.27922652534909,7.33700734723789,10.6214588167058,6.99403725925918,12.0041831490262,10.5642063942093,7.03933327303002,7.59253491555707,6.64451095068521,5.21804140651049,7.28853039981404,7.81096974695759,7.87853654984043,6.17432616303001,5.0111385968201,9.32456153826067,7.0251920224893,6.61852751942577,9.89652880656648
"g_AM2_2",9.25470600621459,7.94794438372804,9.09001228687094,8.07208573149868,9.84211968339484,8.44262371858701,8.88970587861403,6.8892730657035,7.67083665031541,7.7754957850115,6.69730288927785,10.2653735777804,5.51616191828156,6.18688746290906,7.99501193923461,6.23910844967448,9.17465528299554,8.84390280194541,7.30927378212411,10.1187186352905,6.59029046250024,6.74797734782953,8.65446782769377,7.78388158802351,10.5667523819068,7.57163847103119,10.3791061939012,8.30053616624662,8.44736613165641,7.83316875102803,9.9964836037366,9.85119449425197,6.84968444971735,6.86235625045723,7.43344968050827,7.67363777617887,8.29077510094713,9.62764139814024,5.46656441525901,6.50102224468992,9.3390119093749,4.42155181207682,8.40632007301062,5.33060708791638,8.80315914266086,7.11425410362931,7.52189269313393,8.01840093193866,7.16436409932239,7.91186539885047,8.08174163161454,7.37674436253527,6.76547056118598,6.97065084374882,6.40133459711192,8.44154275362124,7.68060645436723,6.77582146253383,8.98593267775261,5.77417680825502,6.84007409669455,9.21866870017163,7.96166975760313,8.47619391829033,8.04865208662063,6.1533411476514,8.76585912344246,6.53069813351487,7.9923037427853,6.93616457713456,4.66615746279858,8.22556561754083,8.4278215239516,6.34837577541315,7.1956763831386,5.1025939399812,8.51049240171656,8.25440743124843,6.95163881473091,9.93525632089512,6.24690580178861,10.6210180635762,6.97815558869618,9.47951728386158,7.80576974658396,10.4570085352318,8.21558306402277,8.64480591213056,5.40540925980101,7.92500428713378,6.00909063209781,7.49159564545779,11.6881092212673,9.45704964668504,7.53107451576183,4.7734056223761,6.17234922171562,10.0581369609585,7.0994633323206,9.96005673180983,9.23288695302125,5.77417680825502,8.14829305940767,6.25271417420276,6.24690580178861,8.43655520914625,9.05279814277626,8.0648609412224,6.47199029043233,8.15407677010813,10.4001349359108,6.6281329558599,10.5690227648796,8.51873614451049,6.4046568744278,6.64913117822333,5.84917507704185,10.1798401734543,7.5087848943632,3.61358806582309,6.84542457993797,5.97144477353198,6.78493317132543,7.73642659334535,6.96023898581602,8.49215446929225,7.24982285511045,7.37171289670784,7.23619766236917,7.1503013374635,10.6805440467647,6.97628467596414,12.0322646202002,10.4011718059632,7.11425410362931,7.3685553262579,6.70347196116355,4.92997804897224,7.20986104715169,7.83356612877576,7.81754654554754,6.1426228684655,4.83900437945008,9.18169683837196,6.92833672752397,6.80068157684213,9.75935442039521
"g_AM2_3",9.27717916729343,8.04049188626912,9.14665841180269,8.01794327802977,9.92784196366418,8.463363689555,8.95388032464706,6.93629461173805,7.61114663891001,7.7768710799964,6.71642104438059,10.293629106144,5.61473034944973,6.14701832891794,7.89518887092799,6.3584978846002,9.19400869057986,8.88593302180976,7.30626248544557,10.1637278832214,6.59534933934708,6.8451528346941,8.63117710935277,7.77401241242954,10.6454123097555,7.6615163301577,10.576529191753,8.30629045171143,8.38958505222688,7.89349673822922,10.0102248109318,9.85147373645815,6.80824289056296,6.96348848531507,7.44208759108024,7.61339019911286,8.41679670657473,9.60854801765493,5.53292260529637,6.46819550225712,9.40296161964732,4.65760600716529,8.42727876998685,5.47282541354013,8.80233824397723,7.08651813529325,7.55276142313959,8.04704957023011,7.21124789912667,7.96339578236146,8.12793321610107,7.39162972762405,6.73816453608953,6.92632091885081,6.32248544935701,8.48679459926674,7.66205012431313,6.78542478155241,9.10391940521484,5.64726923594437,6.81448993288141,9.25864897412508,8.0272460813526,8.5137959403681,8.02576343619851,5.94897781302904,8.84427288961042,6.38945523547495,8.03131205714999,6.97522343827974,4.23521011029315,8.2778704169492,8.48421811214985,6.25507468256095,7.2924573292787,5.12943275258112,8.52848752406645,8.35041467567426,6.73816453608953,9.92106449179933,6.31430345961889,10.5618354273952,6.97840012370864,9.45821080758649,7.83688313945331,10.4903196401471,8.14815681240669,8.63964510442758,5.4917044631332,7.85067718972952,5.98387711012187,7.46379352381281,11.7510528162113,9.4426829351705,7.58555352405073,4.67891029514716,6.22409062110628,9.84023589497517,7.04782414973341,9.9246811561428,9.15963331021683,5.73532011086943,8.21265674076917,6.13234388254582,6.38180527934369,8.44499628607017,9.07316305366024,8.00855311927092,6.47521453580521,8.16636940055629,10.4560142957309,6.62287900720694,10.6239500796053,8.50808735602581,6.42317378522182,6.52634332752882,5.99524470007439,10.2097510639132,7.59643950462116,3.83695731489715,6.77899290981028,6.06086326730517,6.7205341248233,7.67266660378803,7.02487778423001,8.49216044360593,7.33848994510071,7.39998701265692,7.19520542493606,7.32362952087141,10.7405827858829,7.05666176094972,12.3134168090578,10.41740701918,7.12742053922122,7.46833786082155,6.57022559972589,4.96162288813543,7.24420303066585,7.8059417856271,7.83688313945331,6.1967466766426,4.73026610490795,9.27770964981964,7.03491922528174,6.76731025136704,9.83896596763387
"w_AM2_1",8.84024232839191,7.60608616906948,9.71984288450001,7.68785621904175,9.38170831850981,8.94506543668813,8.29500778953551,7.38129047747876,6.8995639935441,8.12187966923501,7.18995345268062,11.1695223893604,6.33731449633666,6.6189656725457,8.37633719323672,5.37120843612785,8.46402196343058,9.15688653248471,7.90620102794019,9.71630523868985,6.03827414252753,5.76332533088353,9.21654573152587,8.30065434266245,10.1757380769061,6.73522933111872,10.8460139709356,7.58284592450055,8.02891552392032,8.11336512379787,9.10442325147606,9.55252451475905,6.30408839233563,7.63409238736593,6.69968143953319,8.26607077558015,8.83695433026421,9.55365697107482,5.01373729467762,6.60086953910471,9.29731232670502,4.01782862618082,8.38538321259228,6.61784420758744,8.67683314474363,6.27289390468811,6.76666020932117,8.30585435589579,6.71405258677223,7.29162230683386,9.03183783943997,7.58966260989012,6.81017861197521,7.48313098729058,7.14262470657165,8.37614383287909,7.21620182794137,6.04227262118876,8.80397009974887,5.84919527112388,6.33731449633666,8.18469935647295,8.00985254553054,7.91083110754709,7.77585526664801,6.51263215964625,7.94384749354315,5.84190821855429,7.91052310163065,7.19563639509515,4.6143669055048,8.02836805730789,9.43568918603251,5.26852934516426,6.92711875561471,4.68657674531221,8.49385830458477,7.23271908740671,7.88903826507995,8.80510407372756,5.96342483588152,10.1031324261218,6.21416774725326,9.90550367253851,7.23756115232837,9.72938245470248,8.35701081121506,7.99070345451234,4.47151039468748,8.23982364559292,6.35789767989492,7.89812442046544,11.6978359323343,9.89565062558498,6.96509725969991,3.8890146327444,6.29172712181791,9.41448629504241,7.26495701115538,10.6841343539617,9.19929041463494,6.22419807409762,7.9399665335736,7.27779872205568,5.33948377530863,8.34889627863545,8.28446626506297,8.44145326567195,6.11720814947947,7.38546543290446,9.90571315197908,6.98627965727126,9.89353262607838,8.7470355505256,5.57528632497424,5.86837173216133,5.21978046769073,9.88834580224781,7.22846296211238,3.613804566439,7.16039194473557,5.35547190720582,7.17848975291385,8.02094777221554,6.42405462742804,8.26282731272943,6.44694536456627,7.04944948556182,7.76807089827938,6.83396331925097,10.5682732948667,6.58707924310488,12.5974960634855,10.4599188698749,6.34618778835132,7.42127138839569,6.19208395388091,4.44229443483686,6.5013494743291,8.6142129485857,7.32868040811113,6.51512222896624,6.5138779693617,8.716410643108,6.9808308623234,5.92827112902589,9.4176989425772
"w_AM2_2",8.91296232477338,7.69216121220562,9.594754773782,7.60875716133572,9.39451953408099,8.52878166084057,8.44185859056137,7.13235184605354,6.77548328641837,7.92275901586917,7.17877870266339,10.694599938258,5.95205383436303,6.53072745711931,8.11798516680662,5.55194561787073,8.38740003606396,9.05716868185625,7.90645793261747,9.731144713291,6.0852601123878,5.82642311097145,8.87614681398388,8.14628387923072,10.1985070654458,6.80714047162056,10.2829259725867,7.6095334752423,8.05390201716464,8.05091194016446,9.00904554205326,9.43927335546415,6.53072745711931,7.58597782698622,6.75014892834489,8.01250219765817,8.77341024301913,9.40681401970027,4.90415148457966,6.46224616186008,9.26202260248208,4.18916025143946,8.34758222280301,6.56769496097591,8.80771043535108,6.21694633873527,6.84285012409083,8.19455240399283,6.74186751756569,7.16918214649693,8.97228880382117,7.51435045892388,6.98797823042252,7.28995547967185,7.1582747822789,8.49638521100328,7.23167410209188,6.20910657470414,8.79723578033405,6.11855111039954,6.37681973858649,8.15126207874727,7.88341663186598,7.9859620421309,7.64946611210751,6.49115417088305,8.01250219765817,5.71933718434233,7.88988671447845,7.15949260336503,4.71282439049671,8.1960643559681,9.01790883952177,5.44634129449956,6.78437794574972,4.61700631677534,8.30611296724647,7.38466934028757,7.61764859129221,8.81354729291003,6.06182622511734,10.0284141741123,6.30652133904864,9.66497519153855,7.20354006648617,9.63163755466704,8.37646759174221,7.8724398258311,4.41164489468524,8.0946117706454,6.27016837489513,7.8163035052815,11.2771406239086,9.78552934946834,7.11468886476824,3.80295356252204,6.43624744167242,9.63563586275215,6.97048861141731,10.6274205634463,9.10768951631899,6.49825246077701,7.85862279467911,7.18235380044102,5.33582125264525,8.42363222089709,8.29248686233026,8.26365655293562,6.23398047957144,7.48049713744409,9.95575394715183,6.92152484865085,9.84257209256856,8.64107726711774,5.88469930477534,5.89767870220765,5.47626597197091,9.9343165992653,7.01576219690762,3.56785620433126,7.0407413353764,5.23683933539867,6.88935960196103,7.88724492027139,6.64796795478057,8.27887121620361,6.44498900098507,7.01083183714174,7.66316608473565,6.92383827650492,9.93180883505363,6.75014892834489,12.0494315075713,10.2206384432497,6.40955470434124,7.49495979836542,6.28486852171983,4.93838624827726,6.57098885273363,8.05166029800968,7.30163737436672,6.52615224309062,6.48877683309748,8.79237321363652,6.95642240705078,6.11855111039954,9.51899860607427
"w_AM2_3",8.97163523881866,7.62089709234193,9.53271388691366,7.60034547621949,9.42504280838565,8.40958859145597,8.43709587458481,7.20806486004164,6.81487714687801,7.87844238582426,7.16820669972413,10.6614148938065,5.89132871407084,6.50308476741576,8.10411860958716,5.54659691232371,8.39586364381665,9.05906763268028,7.85770884088293,9.71369746035844,6.05586103392463,5.80615734171335,8.86285929096553,8.1960899001418,10.2190748733799,6.8110099312562,10.2899278141956,7.61049990419123,8.11005533136318,8.03158667552385,9.00215672809718,9.42014988000634,6.50729343261818,7.53902601139026,6.70826541942141,7.92656708832115,8.75719359541409,9.41305254562541,4.9386793087385,6.43998068999957,9.26491897886477,3.91688471775566,8.30687805632877,6.56244199257613,8.77724483955068,6.42641229069007,6.84303898551265,8.15207378432286,6.86823630067329,7.12838771229877,8.94941896917697,7.51784856563802,6.94701598638924,7.33050156349798,7.17307441193356,8.47140675975161,7.14183765210837,6.14418780503528,8.75542121731205,5.87169797392461,6.42641229069007,8.13778322332328,7.79714239951516,8.02539388368693,7.60350789917931,6.61281966974707,8.02539388368693,5.75846955741672,7.91430145280151,7.13849208856475,4.93362678985708,8.16696213270182,8.87355625224022,5.52439976697551,6.8711593787172,4.32504611083356,8.29429800268162,7.36002337919064,7.59008687713799,8.83273598795156,5.83946450855137,10.0434595682723,6.26625206630561,9.59929701366888,7.29101201448408,9.60500223502254,8.4221998421949,7.87790925457091,4.52669547388367,8.06950126070489,6.12590635909292,7.75913989354058,11.2383890896702,9.75182922547706,7.11303709536897,3.71596975317314,6.39284127354628,9.62787384923947,6.93476611454478,10.6603593702296,9.09539020267547,6.50308476741576,7.81006647788338,7.13625547842426,5.33329816315014,8.39776797661238,8.27440894057508,8.27941841401399,6.18558802527335,7.40679924483307,9.95133506155786,6.94769215482452,9.86088980493571,8.63228012743731,5.85167413818592,5.9332059782039,5.24826760260131,9.91604903101502,7.02505760149746,3.34764761944067,7.07091135455131,5.4364752393289,6.94159011623318,7.88534735072332,6.59374279417932,8.29253818909216,6.36417990903667,7.05099424269749,7.64407135111219,6.84153683133184,9.99049332635579,6.71851822586459,12.013063343771,10.2235032927303,6.4643877981757,7.32123975752492,6.43095557691162,4.79822781498984,6.57919244809909,7.97369389870416,7.25388789113277,6.50624292573335,6.486070709432,8.7988146953514,6.9140101779774,6.34336932505936,9.51968500251429
"g_AM5_1",9.23623345494649,7.94165179811537,9.01273851936716,8.19325953970527,9.42544425941687,8.76807317588651,8.78066001254862,7.38131226287263,7.75089588227171,7.80891082490563,6.92808152876084,11.018010808234,5.66300123751671,6.17896914721074,7.82991228147591,5.90022434002721,9.03748417452327,8.86034648697583,7.20369289484619,9.72213398518514,6.40240841078374,6.41370529813403,8.74990961388422,7.55477592495476,10.2440386854391,7.12344661897397,10.9339631542782,8.11723935376189,8.28206251154232,8.06610973502785,9.97110995783691,10.0720198596237,6.61407796001142,6.94142431980568,7.40295279164876,7.81860563042497,8.78184427507163,10.0496943727367,5.33914185445215,6.78286898112919,9.44960898197979,4.37978830796507,8.48359333042164,4.97035130380863,9.05294579473924,6.62209020706671,7.51543259705526,8.23955159585354,7.31114359560334,7.87096364446241,8.31448048791505,7.40399654199682,7.01178766082095,7.14327406164776,6.8486100302399,8.49399417534972,7.70332479626893,6.63455259648435,8.7994419471743,5.72918060057172,6.7259484900569,9.02755641885289,8.23319828704645,8.69148184161978,7.94802962797514,6.25254843834812,8.15707760188725,6.65461641941334,8.02548015347495,7.05485650065952,4.65893536235322,8.22542889216764,8.77815528759389,5.94608635219485,7.09543686274201,4.40102792424116,8.67785877263487,7.79277673152367,7.06002002128952,9.97279008140536,5.95501165185258,10.6736779238973,7.13511722771567,9.61243978486736,7.60165949990272,11.0401928122106,8.20198669518565,8.88863499326938,5.12435993833504,7.86374379267112,6.11858501115386,7.49182618774344,12.3336138972229,9.53247428515525,6.84770066414329,4.68300059194762,5.92112290756977,10.6544570229116,7.29032357286756,9.76643352962659,9.64046870420148,6.04013913999676,7.97667832264544,6.62436767867495,5.94832515642868,8.33524894521561,8.83747335799888,8.18708105831992,6.71976396936159,8.02632033263721,10.2201694132951,6.51256207532975,10.5438653975755,8.51086218328163,6.23255334396746,6.53021328871479,5.61423594156304,10.1323779602813,7.58743308131201,3.34695400848137,6.84222703294703,5.70094347288948,6.6753670608784,7.80157753767434,6.68932076766947,8.97084664961712,7.52518348446852,7.2011405174276,7.49516482274631,7.17852487255567,11.0891851014893,6.97482409735679,12.8883862221597,10.4712017535323,6.78480853140548,7.67309876742564,6.40524461947535,5.07739491646025,7.50322683086232,8.26324426395221,7.87942953172849,6.0236835244599,6.09182332664491,8.83523180971111,7.28563743864383,6.5226866013045,9.67787634380837
"g_AM5_2",9.3869934387374,8.03412238782095,8.89774191623287,8.10806805142747,9.60816457596504,8.56914499425146,8.96767794973728,7.18933144914072,7.70924408844362,7.69403328323762,6.94853998663097,10.8375795950102,5.60790507384027,6.16215542015943,7.8164988192803,6.1468424433358,8.8975776406568,8.71967659003194,7.26778033109345,9.97007692892706,6.29921619634323,6.4656476151568,8.69463470077864,7.54940127099319,10.3844617095224,7.15332752237624,10.7308457547123,8.021971723348,8.2545482279093,8.01643555696533,9.89836948666388,9.97422798086219,6.86308292809342,6.87928604767581,7.44970608613014,7.68909454685188,8.98423529288812,10.0029758472833,5.53948898544154,6.74307209906799,9.25762309478293,4.71448803505014,8.39431701070409,5.2640561039945,9.16585777809226,6.79551003936823,7.52830522497942,8.0598897522031,7.2860558120961,7.76021837614771,8.15851375383385,7.43775374299768,6.93576889826674,7.06698521622767,6.66194641735975,8.69784959996957,7.62021295517735,6.59687840199085,9.00436920372307,5.79255149843368,6.75434248775197,8.96981998841671,8.05646682648007,8.72632785010489,7.85730469245871,6.24941324492318,8.21404953388504,6.62277684910455,7.98991554150049,6.95314387574973,4.80702084285502,8.43427084771845,8.59948213492499,6.02093566640871,7.07413297454166,4.33995218863508,8.47118077637055,7.82661776760555,6.83891893641122,9.87112790549583,5.95149103292354,10.6561209607099,7.09328037364398,9.4431900211727,7.70546302290731,10.9743701024226,8.24196878186176,8.81775166414209,5.13126362040962,7.77092003029516,6.03253564161356,7.465652819874,12.0931240040465,9.3612877890125,6.93810307867169,4.75667406076092,5.75900783798303,10.5268822195458,7.0494106562847,9.5591961249623,9.48659883711486,6.08038732580716,7.95511259252332,6.41777621336602,6.22116491948622,8.42719596238938,8.83258812308683,8.02943640253631,6.80487675911246,8.15091659199186,10.3597187983973,6.51311631523654,10.5549592921125,8.4799498345735,6.45625491478281,6.33819632702844,5.68834372955195,10.1972838406524,7.47591751657207,3.22019396442375,6.68021643209949,5.58109767265319,6.67112314832916,7.71139829579125,6.75714034903024,8.77224651861037,7.39217069964249,7.27029219638742,7.33347968955029,7.41558356772444,10.7757647170464,6.90008617413495,12.4568267807254,10.3278053099304,6.77513809451549,7.96392754119815,6.39395763337211,5.25781903305959,7.42637246091746,7.99843026103477,7.86333067186008,6.14941094544179,5.85299668122924,8.91742268523513,7.17655559663861,6.47495291301948,9.84286807205127
"g_AM5_3",9.21544282369358,7.97979606640169,8.98869011804455,8.20382168962385,9.48221909240199,8.7787097369355,8.83206507845458,7.40773038643508,7.76994738497817,7.79206053567605,6.88601698504947,10.9799183939118,5.60525612580231,6.25073923512328,7.82936054367626,6.07347957483935,8.98107654599057,8.80431104421148,7.21685825315369,9.72685034260617,6.2590774539818,6.49208598886945,8.77442314647738,7.55757274280569,10.2986992301994,7.2085390140515,10.7681894432675,8.05642352621104,8.2984805920829,8.09237672644562,9.98712300572817,10.0769445040953,6.71097082829556,6.88601698504947,7.42028842283431,7.85257649696021,8.84240284443205,10.0333850268975,5.38462570260749,6.92003232968251,9.36924609040311,4.54210460635378,8.45126750522484,5.24833287703398,9.02685111798384,6.63296517453308,7.61482805465227,8.22915047148361,7.24822546403052,7.88249743070441,8.27065630327153,7.47344795188545,7.00703285021309,7.12898627999454,6.83692299680457,8.51415699593795,7.6866662346874,6.6431965834353,8.83333151828941,5.69965087266284,6.74627526013617,9.03163723396458,8.2076148245032,8.66096265636797,7.9191556933622,6.27718041720429,8.14462343208681,6.5333208722949,7.96241032909676,7.08851653837469,4.76496717535421,8.23607386590173,8.84302975245315,5.77517915099474,7.1121455721117,4.46525593604059,8.57463663267001,7.81544801095772,7.01642147447168,9.94012408699713,5.93884846100211,10.6812846780857,7.07905264376238,9.57916262556195,7.61696603929905,11.0158626803192,8.21656627180897,8.87631212233,5.16262813358897,7.8231238455302,6.15226773491655,7.50928450154335,12.266785552318,9.51296238435949,6.93111842683817,4.8294354385755,5.77248120031444,10.5882276234228,7.2111061592309,9.66400966820703,9.58455116580456,6.0593849633705,7.98217055230874,6.67984080945579,6.01586848107374,8.34903733951489,8.83649061866888,8.18463714788167,6.71308242274576,8.04423889778367,10.2266112957782,6.58378368302444,10.543720300434,8.50769256914375,6.31557580154706,6.50515547487329,5.57937743677378,10.1343134390063,7.52298559870842,3.62329464888533,6.78921093929356,5.71978663506301,6.67765776454253,7.7970674271594,6.70779505270056,8.86521803541705,7.48715919361624,7.18841698290284,7.40456608038181,7.2457519784021,10.8522682084099,6.94459626560361,12.5958923557268,10.4201230601201,6.84064340554862,7.76480249366741,6.52825854386379,5.13234602267567,7.48618602947402,8.170985564332,7.85628188677106,6.09327624618072,6.06141068290343,8.8436562677068,7.2111061592309,6.51677372685938,9.75865705889823
"w_AM5_1",8.73515279558737,7.28497970527448,9.55862500357497,7.56230701522401,9.36388437282866,8.58551288078266,8.25096220931561,7.37315728423691,6.81771365879349,7.90937635750727,6.97998760769255,10.6087453023465,6.2570996412164,6.5411104114685,8.13585888298446,5.53282830789102,8.3318445667246,9.11428521640662,7.78473225360549,9.49668421811225,6.00025020423064,5.83763025900799,8.90254758063249,8.0659904741858,9.98049339502682,6.85265576317563,9.81038129180311,7.5565330025056,7.91316695461802,7.94691216725077,9.09491073771933,9.42303846187454,6.1729611276998,7.45204517141818,6.6219435582126,7.88075858953594,8.17342813295174,9.18710103226788,4.8863443582438,6.49977115143666,8.9711762914734,3.65501034566399,8.15045970760626,6.13530099083782,8.34421362744026,6.35159172270432,6.82415825726678,8.20399553116465,6.85109369479083,7.03610128794629,9.01746449944988,7.5303274249259,6.87884426402262,7.25672711921433,7.24677863240293,7.61464848636115,7.22604262698555,6.24714016387571,8.65582606357654,5.78683033411134,6.43555496542769,8.22657006094489,7.88243206487626,7.89736863952147,7.58131643632979,6.47161150609171,8.10778288586373,5.51514719194616,7.63947120888029,7.23033136388561,4.43628155293336,7.90475408849989,9.13925669839936,5.40194477179888,6.73695370274663,4.47066280475626,8.19771238975452,7.25516287047072,7.47408599551295,8.64079666942487,5.82680421979575,9.89516644645708,6.2210651045745,9.54777405132954,7.20541610865396,9.46650234841722,8.33769476147976,7.72261532304955,4.40969695378357,7.97904981572356,6.23996502833571,7.79329930961945,11.1378147843551,9.63999689864684,7.12135964032092,3.82981001886689,6.51081666773513,9.08340519744097,6.9730927116539,10.4156885200778,8.90545722701061,6.5909984547323,7.66091425610413,7.17817485847113,5.50318367884433,7.94114748680277,8.26246241842442,8.31027788485356,5.67423202569437,7.42599472727213,9.77829696964522,6.79068175230522,9.59099368536179,8.68796708468808,5.77084292711813,5.72611421934939,5.45700087404749,9.75881351816735,6.91395252059746,2.84774878879651,7.06365205285162,5.32227764406629,7.0579480873646,8.01970628568813,6.88867901536422,7.99486397807693,6.54217553997775,6.79316961709116,7.66646336363835,6.91834699260372,9.7549651153202,6.75604563929435,11.7806020365192,9.79056841283801,6.45432706133083,7.0541272880167,6.03089129536128,4.71660425091246,6.41763021063842,8.01165717499474,7.22711653681132,6.40305541858179,6.50530915993716,8.79631982473243,6.79647717125175,6.59201177600292,9.18316233561789
