seqnames	strand	Gene_ID	intron_start	intron_end	intron_width	three_prime_end	five_prime_end	intron_midpoint	transcript_length	intron_to_5_end
000000F_DK2_H1	-	000000F_DK2_H1.2	689	711	23	433	984	700	551	0.515426497277677
000000F_DK2_H1	+	000000F_DK2_H1.3	1248	1271	24	1954	1001	1259.5	953	0.2712486883525708
000000F_DK2_H1	+	000000F_DK2_H1.3	1583	1604	22	1954	1001	1593.5	953	0.6217208814270724
000000F_DK2_H1	+	000000F_DK2_H1.3	1818	1838	21	1954	1001	1828	953	0.8677859391395593
000000F_DK2_H1	-	000000F_DK2_H1.4	3929	3957	29	2377	5213	3943	2836	0.44781382228490835
000000F_DK2_H1	-	000000F_DK2_H1.4	4100	4138	39	2377	5213	4119	2836	0.3857545839210155
000000F_DK2_H1	-	000000F_DK2_H1.4	4145	4180	36	2377	5213	4162.5	2836	0.3704160789844852
000000F_DK2_H1	-	000000F_DK2_H1.4	4987	5008	22	2377	5213	4997.5	2836	0.07598730606488012
000000F_DK2_H1	+	000000F_DK2_H1.5	5348	5373	26	7264	5333	5360.5	1931	0.014241325737959606
000000F_DK2_H1	+	000000F_DK2_H1.5	5423	5445	23	7264	5333	5434	1931	0.0523045054375971
000000F_DK2_H1	+	000000F_DK2_H1.5	6986	7009	24	7264	5333	6997.5	1931	0.8619886069394096
000000F_DK2_H1	+	000000F_DK2_H1.5	7105	7127	23	7264	5333	7116	1931	0.9233557742102537
000000F_DK2_H1	+	000000F_DK2_H1.6	7418	7442	25	8388	7281	7430	1107	0.13459801264679314
000000F_DK2_H1	+	000000F_DK2_H1.6	7901	7926	26	8388	7281	7913.5	1107	0.571364046973803
000000F_DK2_H1	+	000000F_DK2_H1.6	8051	8076	26	8388	7281	8063.5	1107	0.7068654019873533
000000F_DK2_H1	+	000000F_DK2_H1.8	9761	9782	22	14925	9515	9771.5	5410	0.047412199630314233
000000F_DK2_H1	+	000000F_DK2_H1.8	9928	9951	24	14925	9515	9939.5	5410	0.07846580406654344
000000F_DK2_H1	+	000000F_DK2_H1.8	11229	11255	27	14925	9515	11242	5410	0.3192236598890943
000000F_DK2_H1	+	000000F_DK2_H1.8	12224	12248	25	14925	9515	12236	5410	0.5029574861367837
000000F_DK2_H1	+	000000F_DK2_H1.8	14584	14623	40	14925	9515	14603.5	5410	0.9405730129390019
000000F_DK2_H1	+	000000F_DK2_H1.11	16586	16608	23	17449	16408	16597	1041	0.18155619596541786
000000F_DK2_H1	+	000000F_DK2_H1.12	17862	17888	27	22008	17466	17875	4542	0.0900484368119771
000000F_DK2_H1	+	000000F_DK2_H1.12	19196	19216	21	22008	17466	19206	4542	0.38309114927344784
000000F_DK2_H1	+	000000F_DK2_H1.12	19547	19571	25	22008	17466	19559	4542	0.4608102157639806
000000F_DK2_H1	+	000000F_DK2_H1.12	21740	21776	37	22008	17466	21758	4542	0.944958168207838
000000F_DK2_H1	-	000000F_DK2_H1.16	26753	26776	24	26513	28330	26764.5	1817	0.8615850302696753
000000F_DK2_H1	-	000000F_DK2_H1.16	27983	28006	24	26513	28330	27994.5	1817	0.18464501926252064
000000F_DK2_H1	+	000000F_DK2_H1.19	31671	31694	24	32259	31601	31682.5	658	0.12386018237082067
000000F_DK2_H1	+	000000F_DK2_H1.19	31864	31887	24	32259	31601	31875.5	658	0.41717325227963525
000000F_DK2_H1	+	000000F_DK2_H1.19	32045	32066	22	32259	31601	32055.5	658	0.6907294832826748
000000F_DK2_H1	+	000000F_DK2_H1.19	32135	32159	25	32259	31601	32147	658	0.8297872340425532
000000F_DK2_H1	-	000000F_DK2_H1.21	34701	34726	26	34362	36489	34713.5	2127	0.8347437705688764
000000F_DK2_H1	-	000000F_DK2_H1.21	35129	35155	27	34362	36489	35142	2127	0.6332863187588152
000000F_DK2_H1	-	000000F_DK2_H1.21	35553	35573	21	34362	36489	35563	2127	0.43535496003761165
000000F_DK2_H1	-	000000F_DK2_H1.21	36265	36286	22	34362	36489	36275.5	2127	0.1003761165961448
000000F_DK2_H1	-	000000F_DK2_H1.21	36347	36377	31	34362	36489	36362	2127	0.059708509637987774
000000F_DK2_H1	+	000000F_DK2_H1.23	40261	40287	27	41228	39681	40274	1547	0.38332255979314805
000000F_DK2_H1	+	000000F_DK2_H1.26	43197	43219	23	45961	43083	43208	2878	0.04343293954134816
000000F_DK2_H1	+	000000F_DK2_H1.26	43517	43538	22	45961	43083	43527.5	2878	0.15444753300903405
000000F_DK2_H1	+	000000F_DK2_H1.26	43713	43734	22	45961	43083	43723.5	2878	0.22255038220986798
000000F_DK2_H1	+	000000F_DK2_H1.26	44026	44053	28	45961	43083	44039.5	2878	0.3323488533703961
000000F_DK2_H1	+	000000F_DK2_H1.26	44270	44291	22	45961	43083	44280.5	2878	0.41608756080611536
000000F_DK2_H1	+	000000F_DK2_H1.26	44734	44754	21	45961	43083	44744	2878	0.5771369006254343
000000F_DK2_H1	+	000000F_DK2_H1.26	45257	45341	85	45961	43083	45299	2878	0.7699791521890201
000000F_DK2_H1	+	000000F_DK2_H1.26	45584	45605	22	45961	43083	45594.5	2878	0.8726546212647672
000000F_DK2_H1	+	000000F_DK2_H1.26	45832	45854	23	45961	43083	45843	2878	0.9589993050729674
000000F_DK2_H1	+	000000F_DK2_H1.27	46118	46141	24	46920	45963	46129.5	957	0.17398119122257052
000000F_DK2_H1	+	000000F_DK2_H1.27	46333	46358	26	46920	45963	46345.5	957	0.3996865203761755
000000F_DK2_H1	-	000000F_DK2_H1.28	47109	47130	22	46962	48066	47119.5	1104	0.8573369565217391
000000F_DK2_H1	-	000000F_DK2_H1.28	47619	47647	29	46962	48066	47633	1104	0.39221014492753625
000000F_DK2_H1	-	000000F_DK2_H1.28	47792	47817	26	46962	48066	47804.5	1104	0.2368659420289855
000000F_DK2_H1	-	000000F_DK2_H1.30	49855	49882	28	49670	50079	49868.5	409	0.5146699266503667
000000F_DK2_H1	+	000000F_DK2_H1.31	50717	50742	26	51519	50097	50729.5	1422	0.44479606188466947
000000F_DK2_H1	+	000000F_DK2_H1.31	51116	51139	24	51519	50097	51127.5	1422	0.7246835443037974
000000F_DK2_H1	-	000000F_DK2_H1.33	52560	52585	26	52275	54271	52572.5	1996	0.8509519038076152
000000F_DK2_H1	-	000000F_DK2_H1.33	53247	53328	82	52275	54271	53287.5	1996	0.49273547094188375
000000F_DK2_H1	-	000000F_DK2_H1.33	53434	53459	26	52275	54271	53446.5	1996	0.4130761523046092
000000F_DK2_H1	-	000000F_DK2_H1.33	53569	53589	21	52275	54271	53579	1996	0.3466933867735471
000000F_DK2_H1	-	000000F_DK2_H1.33	53997	54025	29	52275	54271	54011	1996	0.13026052104208416
000000F_DK2_H1	-	000000F_DK2_H1.35	57142	57161	20	56780	57518	57151.5	738	0.49661246612466126
000000F_DK2_H1	-	000000F_DK2_H1.35	57257	57280	24	56780	57518	57268.5	738	0.33807588075880757
000000F_DK2_H1	-	000000F_DK2_H1.35	57371	57393	23	56780	57518	57382	738	0.1842818428184282
000000F_DK2_H1	-	000000F_DK2_H1.38	58580	58604	25	58327	60333	58592	2006	0.8678963110667997
000000F_DK2_H1	-	000000F_DK2_H1.38	58716	58738	23	58327	60333	58727	2006	0.8005982053838484
000000F_DK2_H1	-	000000F_DK2_H1.39	60692	60720	29	60336	60998	60706	662	0.44108761329305135
000000F_DK2_H1	-	000000F_DK2_H1.39	60915	60940	26	60336	60998	60927.5	662	0.10649546827794562
000000F_DK2_H1	-	000000F_DK2_H1.40	61247	61268	22	61006	65832	61257.5	4826	0.9478864484044758
000000F_DK2_H1	-	000000F_DK2_H1.40	61468	61489	22	61006	65832	61478.5	4826	0.9020928305014505
000000F_DK2_H1	-	000000F_DK2_H1.40	61761	61783	23	61006	65832	61772	4826	0.841276419394944
000000F_DK2_H1	-	000000F_DK2_H1.40	64840	64864	25	61006	65832	64852	4826	0.20306672192291753
000000F_DK2_H1	-	000000F_DK2_H1.40	65048	65077	30	61006	65832	65062.5	4826	0.1594488188976378
000000F_DK2_H1	-	000000F_DK2_H1.40	65388	65463	76	61006	65832	65425.5	4826	0.08423124740986324
