chr,strand,GeneID,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,IncLevelDifference,FDR,timepoints,A3SS_ID,longExonStart_1base,shortES_1base,short_exon_id,long_exon_id,A3SS_position,canonical_exon,A3SS_exon,A3_exon_start,A3_exon_end,can_exon_start,can_exon_end,distance_canSS_ASS,frameshift,three_prime_end,five_prime_end,A3SS_site,relative_distance_A3SS_to_5_end,can_intron_start,can_intron_end,intron_id_start,intron_id_end
000466F_DK2_H2,+,000466F_DK2_H2.4,7826,7982,7834,7982,7633,7804,-0.109,0.01178571230134029,AM2,000466F_DK2_H2.47826798278347982,7827,7835,000466F_DK2_H2_7835_7982,000466F_DK2_H2_7827_7982,exon,000466F_DK2_H2_7827_7982,000466F_DK2_H2_7835_7982,7835,7982,7827,7982,8,3n+1,8778,4329,7835,0.788042256686896,7805,NA,000466F_DK2_H2_7805,000466F_DK2_H2_NA
000386F_DK2_H1,+,000386F_DK2_H1.5,6835,6922,6837,6922,6735,6812,-0.1,0.03427589371330338,AM2,000386F_DK2_H1.56835692268376922,6836,6838,000386F_DK2_H1_6838_6922,000386F_DK2_H1_6836_6922,intron,000386F_DK2_H1_6838_6922,000386F_DK2_H1_6836_6922,6836,6922,6838,6922,2,3n+1,9620,3863,6836,0.5164147993746743,6813,NA,000386F_DK2_H1_6813,000386F_DK2_H1_NA
000424F_7126-19855_DK2_H1,+,000424F_7126-19855_DK2_H1.13,11985,12165,11990,12165,11913,11963,0.11,0.02339113652151293,AM2,000424F_7126-19855_DK2_H1.1311985121651199012165,11986,11991,000424F_7126-19855_DK2_H1_11991_12165,000424F_7126-19855_DK2_H1_11986_12165,exon,000424F_7126-19855_DK2_H1_11986_12165,000424F_7126-19855_DK2_H1_11991_12165,11991,12165,11986,12165,5,3n+1,12165,11914,11991,0.30677290836653387,11964,NA,000424F_7126-19855_DK2_H1_11964,000424F_7126-19855_DK2_H1_NA
000342F_DK2_H2,+,000342F_DK2_H2.17,18325,18603,18333,18603,17958,18297,0.196,5.574440267607568e-5,AM2,000342F_DK2_H2.1718325186031833318603,18326,18334,000342F_DK2_H2_18334_18603,000342F_DK2_H2_18326_18603,exon,000342F_DK2_H2_18326_18603,000342F_DK2_H2_18334_18603,18334,18603,18326,18603,8,3n+1,18974,17959,18334,0.3694581280788177,18298,NA,000342F_DK2_H2_18298,000342F_DK2_H2_NA
000318F_DK2_H1,+,000318F_DK2_H1.17,24506,24678,24520,24678,24451,24484,0.139,0.00331364375060478,AM2,000318F_DK2_H1.1724506246782452024678,24507,24521,000318F_DK2_H1_24521_24678,000318F_DK2_H1_24507_24678,exon,000318F_DK2_H1_24507_24678,000318F_DK2_H1_24521_24678,24521,24678,24507,24678,14,3n+1,25138,24452,24521,0.10058309037900874,24485,NA,000318F_DK2_H1_24485,000318F_DK2_H1_NA
000241F_DK2_H2,-,000241F_DK2_H2.38,55051,55399,55051,55386,55421,55753,0.126,0.04441566520771704,AM2,000241F_DK2_H2.3855051553995505155386,55052,55052,000241F_DK2_H2_55052_55386,000241F_DK2_H2_55052_55399,exon,000241F_DK2_H2_55052_55399,000241F_DK2_H2_55052_55386,55052,55386,55052,55399,13,3n+1,54482,55935,55386,0.3778389538885065,NA,55421,000241F_DK2_H2_NA,000241F_DK2_H2_55421
000209F_DK2_H1,-,000209F_DK2_H1.4,4926,5042,4926,5037,5064,5345,-0.149,1.6812192872429483e-9,AM2,000209F_DK2_H1.44926504249265037,4927,4927,000209F_DK2_H1_4927_5037,000209F_DK2_H1_4927_5042,intron,000209F_DK2_H1_4927_5037,000209F_DK2_H1_4927_5042,4927,5042,4927,5037,5,3n+1,4707,6141,5042,0.7663877266387726,NA,5064,000209F_DK2_H1_NA,000209F_DK2_H1_5064
000193F_DK2_H1,-,000193F_DK2_H1.49,68197,68324,68197,68319,68345,69207,-0.273,7.2467616712729e-4,AM2,000193F_DK2_H1.4968197683246819768319,68198,68198,000193F_DK2_H1_68198_68319,000193F_DK2_H1_68198_68324,intron,000193F_DK2_H1_68198_68319,000193F_DK2_H1_68198_68324,68198,68324,68198,68319,5,3n+1,68023,70088,68324,0.8542372881355932,NA,68345,000193F_DK2_H1_NA,000193F_DK2_H1_68345
000179F_DK2_H1,-,000179F_DK2_H1.30,47423,47491,47423,47486,47515,47645,0.153,4.159604212892758e-5,AM2,000179F_DK2_H1.3047423474914742347486,47424,47424,000179F_DK2_H1_47424_47486,000179F_DK2_H1_47424_47491,intron,000179F_DK2_H1_47424_47486,000179F_DK2_H1_47424_47491,47424,47491,47424,47486,5,3n+1,47174,47645,47491,0.32696390658174096,NA,47515,000179F_DK2_H1_NA,000179F_DK2_H1_47515
000179F_DK2_H1,+,000179F_DK2_H1.19,28898,29272,28900,29272,28691,28876,0.135,6.6832904830666e-4,AM2,000179F_DK2_H1.1928898292722890029272,28899,28901,000179F_DK2_H1_28901_29272,000179F_DK2_H1_28899_29272,exon,000179F_DK2_H1_28899_29272,000179F_DK2_H1_28901_29272,28901,29272,28899,29272,2,3n+1,29459,28692,28901,0.27249022164276404,28877,NA,000179F_DK2_H1_28877,000179F_DK2_H1_NA
