"","Gene_ID","intron_id"
"1","000000F_DK2_H1.3","000000F_DK2_H1_1248_1271"
"2","000000F_DK2_H1.3","000000F_DK2_H1_1583_1604"
"3","000000F_DK2_H1.3","000000F_DK2_H1_1818_1838"
"4","000000F_DK2_H1.5","000000F_DK2_H1_5348_5373"
"5","000000F_DK2_H1.5","000000F_DK2_H1_5423_5445"
"6","000000F_DK2_H1.5","000000F_DK2_H1_6986_7009"
"7","000000F_DK2_H1.5","000000F_DK2_H1_7105_7127"
"8","000000F_DK2_H1.6","000000F_DK2_H1_7418_7442"
"9","000000F_DK2_H1.6","000000F_DK2_H1_7901_7926"
"10","000000F_DK2_H1.6","000000F_DK2_H1_8051_8076"
"11","000000F_DK2_H1.8","000000F_DK2_H1_9761_9782"
"12","000000F_DK2_H1.8","000000F_DK2_H1_9928_9951"
"13","000000F_DK2_H1.8","000000F_DK2_H1_11229_11255"
"14","000000F_DK2_H1.8","000000F_DK2_H1_12224_12248"
"15","000000F_DK2_H1.8","000000F_DK2_H1_14584_14623"
"16","000000F_DK2_H1.11","000000F_DK2_H1_16586_16608"
"17","000000F_DK2_H1.12","000000F_DK2_H1_17862_17888"
"18","000000F_DK2_H1.12","000000F_DK2_H1_19196_19216"
"19","000000F_DK2_H1.12","000000F_DK2_H1_19547_19571"
"20","000000F_DK2_H1.12","000000F_DK2_H1_21740_21776"
"21","000000F_DK2_H1.19","000000F_DK2_H1_31671_31694"
"22","000000F_DK2_H1.19","000000F_DK2_H1_31864_31887"
"23","000000F_DK2_H1.19","000000F_DK2_H1_32045_32066"
"24","000000F_DK2_H1.19","000000F_DK2_H1_32135_32159"
"25","000000F_DK2_H1.23","000000F_DK2_H1_40261_40287"
"26","000000F_DK2_H1.26","000000F_DK2_H1_43197_43219"
"27","000000F_DK2_H1.26","000000F_DK2_H1_43517_43538"
"28","000000F_DK2_H1.26","000000F_DK2_H1_43713_43734"
"29","000000F_DK2_H1.26","000000F_DK2_H1_44026_44053"
"30","000000F_DK2_H1.26","000000F_DK2_H1_44270_44291"
"31","000000F_DK2_H1.26","000000F_DK2_H1_44734_44754"
"32","000000F_DK2_H1.26","000000F_DK2_H1_45257_45341"
"33","000000F_DK2_H1.26","000000F_DK2_H1_45584_45605"
"34","000000F_DK2_H1.26","000000F_DK2_H1_45832_45854"
"35","000000F_DK2_H1.27","000000F_DK2_H1_46118_46141"
"36","000000F_DK2_H1.27","000000F_DK2_H1_46333_46358"
"37","000000F_DK2_H1.31","000000F_DK2_H1_50717_50742"
"38","000000F_DK2_H1.31","000000F_DK2_H1_51116_51139"
"39","000000F_DK2_H1.45","000000F_DK2_H1_70986_71008"
"40","000000F_DK2_H1.45","000000F_DK2_H1_73125_73141"
"41","000000F_DK2_H1.48","000000F_DK2_H1_75765_75850"
"42","000000F_DK2_H1.48","000000F_DK2_H1_76605_76629"
"43","000000F_DK2_H1.48","000000F_DK2_H1_76774_76849"
"44","000000F_DK2_H1.53","000000F_DK2_H1_81575_81602"
"45","000000F_DK2_H1.53","000000F_DK2_H1_84975_84997"
"46","000000F_DK2_H1.53","000000F_DK2_H1_85234_85256"
"47","000000F_DK2_H1.54","000000F_DK2_H1_86515_86540"
"48","000000F_DK2_H1.54","000000F_DK2_H1_87036_87057"
"49","000000F_DK2_H1.54","000000F_DK2_H1_87318_87343"
