gene_id,ortholog_genes_Ps,intron_id_Tt,intron_id_Pc,intron_id_Pt,intron_id,intron_age,intron_gc_content,intron_width
000000F_DK2_H1.106,1,NA,NA,NA,000000F_DK2_H1_207112_207138,1,25.925925925925924,27
000000F_DK2_H1.108,1,NA,NA,NA,000000F_DK2_H1_208951_208996,1,32.608695652173914,46
000000F_DK2_H1.108,1,NA,NA,NA,000000F_DK2_H1_209194_209215,1,22.727272727272727,22
000000F_DK2_H1.108,1,NA,NA,NA,000000F_DK2_H1_209546_209569,1,12.5,24
000000F_DK2_H1.109,1,NA,scaffold_0094_19453_19474,scaffold51_122_175883_175911,000000F_DK2_H1_211779_211807,2,6.896551724137931,29
000000F_DK2_H1.109,1,NA,scaffold_0094_20115_20136,scaffold51_122_175221_175243,000000F_DK2_H1_211138_211160,2,8.695652173913043,23
000000F_DK2_H1.109,1,NA,scaffold_0094_20555_20577,scaffold51_122_174778_174802,000000F_DK2_H1_210695_210719,2,12,25
000000F_DK2_H1.109,1,NA,scaffold_0094_20998_21017,scaffold51_122_174336_174357,000000F_DK2_H1_210248_210274,2,11.11111111111111,27
000000F_DK2_H1.111,1,NA,scaffold_0094_17383_17404,scaffold51_146_96725_96745,000000F_DK2_H1_213653_213690,2,15.789473684210526,38
000000F_DK2_H1.111,1,NA,scaffold_0094_17532_17553,scaffold51_146_96873_96897,000000F_DK2_H1_213515_213537,2,17.391304347826086,23
000000F_DK2_H1.111,1,NA,scaffold_0094_18941_18962,scaffold51_146_98456_98480,000000F_DK2_H1_212301_212328,2,10.714285714285714,28
000000F_DK2_H1.111,1,NA,NA,NA,000000F_DK2_H1_212211_212238,1,10.714285714285714,28
000000F_DK2_H1.112,1,NA,scaffold_0094_16500_16523,scaffold51_114_279213_279244,000000F_DK2_H1_214588_214611,2,12.5,24
000000F_DK2_H1.112,1,NA,NA,NA,000000F_DK2_H1_214080_214105,1,19.230769230769234,26
000000F_DK2_H1.112,1,NA,NA,NA,000000F_DK2_H1_214179_214204,1,15.384615384615383,26
000000F_DK2_H1.112,1,NA,NA,NA,000000F_DK2_H1_214915_214943,1,10.344827586206897,29
000000F_DK2_H1.115,1,chr_103_30100_30154,NA,NA,000000F_DK2_H1_220689_220712,3,16.666666666666664,24
000000F_DK2_H1.115,1,chr_103_30528_30586,scaffold_0023_312242_312263,scaffold51_68_247079_247101,000000F_DK2_H1_220391_220416,3,15.384615384615383,26
000000F_DK2_H1.115,1,chr_103_30994_31067,scaffold_0023_311982_312003,scaffold51_68_247340_247362,000000F_DK2_H1_220133_220155,3,13.043478260869565,23
000000F_DK2_H1.115,1,NA,NA,scaffold51_68_246499_246520,000000F_DK2_H1_220919_220943,2,16,25
000000F_DK2_H1.119,1,chr_071_35789_35983,NA,NA,000000F_DK2_H1_231880_231903,3,8.333333333333332,24
000000F_DK2_H1.119,1,chr_071_36434_36532,scaffold_0085_171824_171845,scaffold51_11_640924_640944,000000F_DK2_H1_232267_232289,3,21.73913043478261,23
000000F_DK2_H1.119,1,NA,scaffold_0085_174087_174107,scaffold51_11_643187_643211,000000F_DK2_H1_230012_230036,2,12,25
000000F_DK2_H1.119,1,NA,NA,NA,000000F_DK2_H1_229861_229883,1,17.391304347826086,23
000000F_DK2_H1.119,1,NA,NA,NA,000000F_DK2_H1_231546_231572,1,11.11111111111111,27
000000F_DK2_H1.12,1,NA,NA,scaffold51_264_4384_4407;scaffold51_74_45173_45196,000000F_DK2_H1_21740_21776,2,10.81081081081081,37
000000F_DK2_H1.12,1,NA,NA,NA,000000F_DK2_H1_17862_17888,1,11.11111111111111,27
000000F_DK2_H1.12,1,NA,NA,NA,000000F_DK2_H1_19196_19216,1,14.285714285714285,21
000000F_DK2_H1.12,1,NA,NA,NA,000000F_DK2_H1_19547_19571,1,8,25
000000F_DK2_H1.125,1,NA,scaffold_0031_31273_31295,NA,000000F_DK2_H1_241673_241695,2,13.043478260869565,23
000000F_DK2_H1.125,1,NA,NA,NA,000000F_DK2_H1_240325_240369,1,15.555555555555555,45
000000F_DK2_H1.125,1,NA,NA,NA,000000F_DK2_H1_240745_240768,1,8.333333333333332,24
000000F_DK2_H1.125,1,NA,NA,NA,000000F_DK2_H1_241074_241095,1,18.181818181818183,22
000000F_DK2_H1.125,1,NA,NA,NA,000000F_DK2_H1_241467_241491,1,12,25
000000F_DK2_H1.126,1,NA,NA,NA,000000F_DK2_H1_242480_242500,1,23.809523809523807,21
000000F_DK2_H1.126,1,NA,NA,NA,000000F_DK2_H1_242855_242875,1,19.047619047619047,21
000000F_DK2_H1.127,1,NA,scaffold_0016_288445_288466,scaffold51_149_82064_82088,000000F_DK2_H1_243846_243867,2,18.181818181818183,22
000000F_DK2_H1.127,1,NA,scaffold_0016_288604_288624,scaffold51_149_82226_82247,000000F_DK2_H1_243689_243711,2,13.043478260869565,23
000000F_DK2_H1.127,1,NA,scaffold_0016_288872_288893,scaffold51_149_82495_82517,000000F_DK2_H1_243418_243441,2,8.333333333333332,24
