seqnames,strand,intron_start,intron_end,Gene_ID,A3SS_site,three_prime_end,five_prime_end
000000F_DK2_H1,+,1248,1271,000000F_DK2_H1.3,1271,1954,1001
000000F_DK2_H1,+,1583,1604,000000F_DK2_H1.3,1604,1954,1001
000000F_DK2_H1,+,1818,1838,000000F_DK2_H1.3,1838,1954,1001
000000F_DK2_H1,+,5348,5373,000000F_DK2_H1.5,5373,7264,5333
000000F_DK2_H1,+,5423,5445,000000F_DK2_H1.5,5445,7264,5333
000000F_DK2_H1,+,6986,7009,000000F_DK2_H1.5,7009,7264,5333
000000F_DK2_H1,+,7105,7127,000000F_DK2_H1.5,7127,7264,5333
000000F_DK2_H1,+,7418,7442,000000F_DK2_H1.6,7442,8388,7281
000000F_DK2_H1,+,7901,7926,000000F_DK2_H1.6,7926,8388,7281
000000F_DK2_H1,+,8051,8076,000000F_DK2_H1.6,8076,8388,7281
000000F_DK2_H1,+,9761,9782,000000F_DK2_H1.8,9782,14925,9515
000000F_DK2_H1,+,9928,9951,000000F_DK2_H1.8,9951,14925,9515
000000F_DK2_H1,+,11229,11255,000000F_DK2_H1.8,11255,14925,9515
000000F_DK2_H1,+,12224,12248,000000F_DK2_H1.8,12248,14925,9515
000000F_DK2_H1,+,14584,14623,000000F_DK2_H1.8,14623,14925,9515
000000F_DK2_H1,+,16586,16608,000000F_DK2_H1.11,16608,17449,16408
000000F_DK2_H1,+,17862,17888,000000F_DK2_H1.12,17888,22008,17466
000000F_DK2_H1,+,19196,19216,000000F_DK2_H1.12,19216,22008,17466
000000F_DK2_H1,+,19547,19571,000000F_DK2_H1.12,19571,22008,17466
000000F_DK2_H1,+,21740,21776,000000F_DK2_H1.12,21776,22008,17466
000000F_DK2_H1,+,31671,31694,000000F_DK2_H1.19,31694,32259,31601
000000F_DK2_H1,+,31864,31887,000000F_DK2_H1.19,31887,32259,31601
000000F_DK2_H1,+,32045,32066,000000F_DK2_H1.19,32066,32259,31601
000000F_DK2_H1,+,32135,32159,000000F_DK2_H1.19,32159,32259,31601
000000F_DK2_H1,+,40261,40287,000000F_DK2_H1.23,40287,41228,39681
000000F_DK2_H1,+,43197,43219,000000F_DK2_H1.26,43219,45961,43083
000000F_DK2_H1,+,43517,43538,000000F_DK2_H1.26,43538,45961,43083
000000F_DK2_H1,+,43713,43734,000000F_DK2_H1.26,43734,45961,43083
000000F_DK2_H1,+,44026,44053,000000F_DK2_H1.26,44053,45961,43083
000000F_DK2_H1,+,44270,44291,000000F_DK2_H1.26,44291,45961,43083
000000F_DK2_H1,+,44734,44754,000000F_DK2_H1.26,44754,45961,43083
000000F_DK2_H1,+,45257,45341,000000F_DK2_H1.26,45341,45961,43083
000000F_DK2_H1,+,45584,45605,000000F_DK2_H1.26,45605,45961,43083
000000F_DK2_H1,+,45832,45854,000000F_DK2_H1.26,45854,45961,43083
000000F_DK2_H1,+,46118,46141,000000F_DK2_H1.27,46141,46920,45963
000000F_DK2_H1,+,46333,46358,000000F_DK2_H1.27,46358,46920,45963
000000F_DK2_H1,+,50717,50742,000000F_DK2_H1.31,50742,51519,50097
000000F_DK2_H1,+,51116,51139,000000F_DK2_H1.31,51139,51519,50097
000000F_DK2_H1,+,70986,71008,000000F_DK2_H1.45,71008,73558,70928
000000F_DK2_H1,+,73125,73141,000000F_DK2_H1.45,73141,73558,70928
000000F_DK2_H1,+,75765,75850,000000F_DK2_H1.48,75850,77239,75697
000000F_DK2_H1,+,76605,76629,000000F_DK2_H1.48,76629,77239,75697
000000F_DK2_H1,+,76774,76849,000000F_DK2_H1.48,76849,77239,75697
000000F_DK2_H1,+,81575,81602,000000F_DK2_H1.53,81602,86142,81200
000000F_DK2_H1,+,84975,84997,000000F_DK2_H1.53,84997,86142,81200
000000F_DK2_H1,+,85234,85256,000000F_DK2_H1.53,85256,86142,81200
000000F_DK2_H1,+,86515,86540,000000F_DK2_H1.54,86540,87587,86423
000000F_DK2_H1,+,87036,87057,000000F_DK2_H1.54,87057,87587,86423
000000F_DK2_H1,+,87318,87343,000000F_DK2_H1.54,87343,87587,86423
000000F_DK2_H1,+,102816,102837,000000F_DK2_H1.63,102837,104472,102674
000000F_DK2_H1,+,102898,102920,000000F_DK2_H1.63,102920,104472,102674
000000F_DK2_H1,+,103159,103179,000000F_DK2_H1.63,103179,104472,102674
000000F_DK2_H1,+,103822,103843,000000F_DK2_H1.63,103843,104472,102674
000000F_DK2_H1,+,128241,128271,000000F_DK2_H1.73,128271,130031,127952
000000F_DK2_H1,+,128432,128459,000000F_DK2_H1.73,128459,130031,127952
000000F_DK2_H1,+,128816,128843,000000F_DK2_H1.73,128843,130031,127952
000000F_DK2_H1,+,129351,129371,000000F_DK2_H1.73,129371,130031,127952
000000F_DK2_H1,+,129655,129679,000000F_DK2_H1.73,129679,130031,127952
000000F_DK2_H1,+,131897,131914,000000F_DK2_H1.75,131914,131932,131540
000000F_DK2_H1,+,135183,135211,000000F_DK2_H1.76,135211,136356,133104
000000F_DK2_H1,+,135448,135470,000000F_DK2_H1.76,135470,136356,133104
000000F_DK2_H1,+,142782,142803,000000F_DK2_H1.79,142803,148185,142716
000000F_DK2_H1,+,142908,142931,000000F_DK2_H1.79,142931,148185,142716
000000F_DK2_H1,+,143115,143139,000000F_DK2_H1.79,143139,148185,142716
000000F_DK2_H1,+,143854,143875,000000F_DK2_H1.79,143875,148185,142716
000000F_DK2_H1,+,144242,144265,000000F_DK2_H1.79,144265,148185,142716
000000F_DK2_H1,+,145145,145168,000000F_DK2_H1.79,145168,148185,142716
000000F_DK2_H1,+,145418,145442,000000F_DK2_H1.79,145442,148185,142716
000000F_DK2_H1,+,145530,145599,000000F_DK2_H1.79,145599,148185,142716
000000F_DK2_H1,+,145867,145891,000000F_DK2_H1.79,145891,148185,142716
000000F_DK2_H1,+,146036,146057,000000F_DK2_H1.79,146057,148185,142716
000000F_DK2_H1,+,155855,155875,000000F_DK2_H1.83,155875,157802,155747
000000F_DK2_H1,+,155975,155996,000000F_DK2_H1.83,155996,157802,155747
000000F_DK2_H1,+,156090,156111,000000F_DK2_H1.83,156111,157802,155747
000000F_DK2_H1,+,156301,156325,000000F_DK2_H1.83,156325,157802,155747
000000F_DK2_H1,+,165534,165556,000000F_DK2_H1.88,165556,170145,165303
000000F_DK2_H1,+,169419,169465,000000F_DK2_H1.88,169465,170145,165303
000000F_DK2_H1,+,169845,169869,000000F_DK2_H1.88,169869,170145,165303
000000F_DK2_H1,+,173603,173623,000000F_DK2_H1.91,173623,174386,173536
000000F_DK2_H1,+,200522,200544,000000F_DK2_H1.97,200544,202002,200470
000000F_DK2_H1,+,200681,200701,000000F_DK2_H1.97,200701,202002,200470
000000F_DK2_H1,+,201090,201114,000000F_DK2_H1.97,201114,202002,200470
000000F_DK2_H1,+,201819,201840,000000F_DK2_H1.97,201840,202002,200470
000000F_DK2_H1,+,208951,208996,000000F_DK2_H1.108,208996,209948,208592
000000F_DK2_H1,+,209194,209215,000000F_DK2_H1.108,209215,209948,208592
000000F_DK2_H1,+,209546,209569,000000F_DK2_H1.108,209569,209948,208592
000000F_DK2_H1,+,214080,214105,000000F_DK2_H1.112,214105,215067,213902
000000F_DK2_H1,+,214179,214204,000000F_DK2_H1.112,214204,215067,213902
000000F_DK2_H1,+,214588,214611,000000F_DK2_H1.112,214611,215067,213902
000000F_DK2_H1,+,214915,214943,000000F_DK2_H1.112,214943,215067,213902
000000F_DK2_H1,+,220133,220155,000000F_DK2_H1.115,220155,221105,220033
000000F_DK2_H1,+,220391,220416,000000F_DK2_H1.115,220416,221105,220033
000000F_DK2_H1,+,220689,220712,000000F_DK2_H1.115,220712,221105,220033
000000F_DK2_H1,+,220919,220943,000000F_DK2_H1.115,220943,221105,220033
000000F_DK2_H1,+,234068,234105,000000F_DK2_H1.120,234105,235129,233808
000000F_DK2_H1,+,234319,234345,000000F_DK2_H1.120,234345,235129,233808
000000F_DK2_H1,+,235003,235026,000000F_DK2_H1.120,235026,235129,233808
000000F_DK2_H1,+,248416,248438,000000F_DK2_H1.131,248438,249774,248339
000000F_DK2_H2,+,15183,15206,000000F_DK2_H2.10,15206,15816,14724
000000F_DK2_H2,+,15432,15453,000000F_DK2_H2.10,15453,15816,14724
000000F_DK2_H2,+,28785,28810,000000F_DK2_H2.17,28810,29466,28639
000000F_DK2_H2,+,28917,28947,000000F_DK2_H2.17,28947,29466,28639
000000F_DK2_H2,+,29279,29303,000000F_DK2_H2.17,29303,29466,28639
000000F_DK2_H2,+,41312,41334,000000F_DK2_H2.24,41334,42833,41247
000000F_DK2_H2,+,41429,41454,000000F_DK2_H2.24,41454,42833,41247
000000F_DK2_H2,+,41691,41716,000000F_DK2_H2.24,41716,42833,41247
000000F_DK2_H2,+,41999,42024,000000F_DK2_H2.24,42024,42833,41247
000000F_DK2_H2,+,42589,42610,000000F_DK2_H2.24,42610,42833,41247
000000F_DK2_H2,+,52101,52123,000000F_DK2_H2.33,52123,52351,51652
000000F_DK2_H2,+,57971,57992,000000F_DK2_H2.37,57992,58437,57649
000000F_DK2_H2,+,58126,58145,000000F_DK2_H2.37,58145,58437,57649
000000F_DK2_H2,+,66677,66701,000000F_DK2_H2.42,66701,70812,66570
000000F_DK2_H2,+,66738,66762,000000F_DK2_H2.42,66762,70812,66570
000000F_DK2_H2,+,66929,66954,000000F_DK2_H2.42,66954,70812,66570
000000F_DK2_H2,+,67186,67210,000000F_DK2_H2.42,67210,70812,66570
000000F_DK2_H2,+,67650,67674,000000F_DK2_H2.42,67674,70812,66570
000000F_DK2_H2,+,68890,68918,000000F_DK2_H2.42,68918,70812,66570
000000F_DK2_H2,+,69692,69716,000000F_DK2_H2.42,69716,70812,66570
000000F_DK2_H2,+,69931,69955,000000F_DK2_H2.42,69955,70812,66570
000000F_DK2_H2,+,70361,70383,000000F_DK2_H2.42,70383,70812,66570
000000F_DK2_H2,+,73874,73896,000000F_DK2_H2.44,73896,74995,73700
000000F_DK2_H2,+,74633,74656,000000F_DK2_H2.44,74656,74995,73700
000000F_DK2_H2,+,76750,76774,000000F_DK2_H2.45,76774,76897,75617
000000F_DK2_H2,+,76832,76853,000000F_DK2_H2.45,76853,76897,75617
000000F_DK2_H2,+,91260,91282,000000F_DK2_H2.56,91282,93118,91184
000000F_DK2_H2,+,92713,92734,000000F_DK2_H2.56,92734,93118,91184
000000F_DK2_H2,+,95235,95255,000000F_DK2_H2.59,95255,99634,95200
000000F_DK2_H2,+,95416,95437,000000F_DK2_H2.59,95437,99634,95200
000000F_DK2_H2,+,95545,95563,000000F_DK2_H2.59,95563,99634,95200
000000F_DK2_H2,+,95750,95775,000000F_DK2_H2.59,95775,99634,95200
000000F_DK2_H2,+,97810,97834,000000F_DK2_H2.59,97834,99634,95200
000000F_DK2_H2,+,98396,98417,000000F_DK2_H2.59,98417,99634,95200
000000F_DK2_H2,+,98588,98612,000000F_DK2_H2.59,98612,99634,95200
000000F_DK2_H2,+,99206,99232,000000F_DK2_H2.59,99232,99634,95200
000000F_DK2_H2,+,99455,99480,000000F_DK2_H2.59,99480,99634,95200
000000F_DK2_H2,+,105018,105039,000000F_DK2_H2.63,105039,105380,104768
000000F_DK2_H2,+,129664,129685,000000F_DK2_H2.72,129685,131766,129523
000000F_DK2_H2,+,129969,129993,000000F_DK2_H2.72,129993,131766,129523
000000F_DK2_H2,+,130257,130356,000000F_DK2_H2.72,130356,131766,129523
000000F_DK2_H2,+,131062,131083,000000F_DK2_H2.72,131083,131766,129523
000000F_DK2_H2,+,137075,137096,000000F_DK2_H2.75,137096,142506,137009
000000F_DK2_H2,+,137201,137224,000000F_DK2_H2.75,137224,142506,137009
000000F_DK2_H2,+,137408,137441,000000F_DK2_H2.75,137441,142506,137009
000000F_DK2_H2,+,138177,138198,000000F_DK2_H2.75,138198,142506,137009
000000F_DK2_H2,+,138565,138588,000000F_DK2_H2.75,138588,142506,137009
000000F_DK2_H2,+,139462,139485,000000F_DK2_H2.75,139485,142506,137009
000000F_DK2_H2,+,139735,139759,000000F_DK2_H2.75,139759,142506,137009
000000F_DK2_H2,+,139895,139916,000000F_DK2_H2.75,139916,142506,137009
000000F_DK2_H2,+,140184,140211,000000F_DK2_H2.75,140211,142506,137009
000000F_DK2_H2,+,140356,140378,000000F_DK2_H2.75,140378,142506,137009
000000F_DK2_H2,+,150593,150614,000000F_DK2_H2.78,150614,155995,150527
000000F_DK2_H2,+,150719,150742,000000F_DK2_H2.78,150742,155995,150527
000000F_DK2_H2,+,150926,150950,000000F_DK2_H2.78,150950,155995,150527
000000F_DK2_H2,+,151662,151684,000000F_DK2_H2.78,151684,155995,150527
000000F_DK2_H2,+,152051,152074,000000F_DK2_H2.78,152074,155995,150527
000000F_DK2_H2,+,152954,152977,000000F_DK2_H2.78,152977,155995,150527
000000F_DK2_H2,+,153227,153251,000000F_DK2_H2.78,153251,155995,150527
000000F_DK2_H2,+,153387,153409,000000F_DK2_H2.78,153409,155995,150527
000000F_DK2_H2,+,153677,153701,000000F_DK2_H2.78,153701,155995,150527
000000F_DK2_H2,+,153846,153867,000000F_DK2_H2.78,153867,155995,150527
000000F_DK2_H2,+,160864,160885,000000F_DK2_H2.82,160885,165579,160600
000000F_DK2_H2,+,165027,165054,000000F_DK2_H2.82,165054,165579,160600
000000F_DK2_H2,+,165258,165277,000000F_DK2_H2.82,165277,165579,160600
000000F_DK2_H2,+,176721,176743,000000F_DK2_H2.87,176743,180752,176649
000000F_DK2_H2,+,176845,176864,000000F_DK2_H2.87,176864,180752,176649
000000F_DK2_H2,+,177807,177828,000000F_DK2_H2.87,177828,180752,176649
000000F_DK2_H2,+,178198,178219,000000F_DK2_H2.87,178219,180752,176649
000000F_DK2_H2,+,179084,179104,000000F_DK2_H2.87,179104,180752,176649
000000F_DK2_H2,+,179345,179370,000000F_DK2_H2.87,179370,180752,176649
000000F_DK2_H2,+,179503,179528,000000F_DK2_H2.87,179528,180752,176649
000000F_DK2_H2,+,179796,179818,000000F_DK2_H2.87,179818,180752,176649
000000F_DK2_H2,+,179969,179989,000000F_DK2_H2.87,179989,180752,176649
000000F_DK2_H2,+,180419,180443,000000F_DK2_H2.87,180443,180752,176649
000000F_DK2_H2,+,182693,182715,000000F_DK2_H2.88,182715,187306,182450
000000F_DK2_H2,+,187011,187033,000000F_DK2_H2.88,187033,187306,182450
000000F_DK2_H2,+,189151,189175,000000F_DK2_H2.90,189175,189472,188405
000000F_DK2_H2,+,189676,189698,000000F_DK2_H2.91,189698,195042,189627
000000F_DK2_H2,+,190755,190776,000000F_DK2_H2.91,190776,195042,189627
000000F_DK2_H2,+,191146,191165,000000F_DK2_H2.91,191165,195042,189627
000000F_DK2_H2,+,192039,192059,000000F_DK2_H2.91,192059,195042,189627
000000F_DK2_H2,+,192300,192325,000000F_DK2_H2.91,192325,195042,189627
000000F_DK2_H2,+,192458,192482,000000F_DK2_H2.91,192482,195042,189627
000000F_DK2_H2,+,192750,192770,000000F_DK2_H2.91,192770,195042,189627
000000F_DK2_H2,+,192921,192940,000000F_DK2_H2.91,192940,195042,189627
000000F_DK2_H2,+,195627,195649,000000F_DK2_H2.92,195649,200241,195384
000000F_DK2_H2,+,199945,199968,000000F_DK2_H2.92,199968,200241,195384
000000F_DK2_H2,+,204694,204716,000000F_DK2_H2.95,204716,205811,203828
000000F_DK2_H2,+,205182,205207,000000F_DK2_H2.95,205207,205811,203828
000000F_DK2_H2,+,205597,205623,000000F_DK2_H2.95,205623,205811,203828
000000F_DK2_H2,+,218818,218839,000000F_DK2_H2.109,218839,220268,218561
000000F_DK2_H2,+,219692,219719,000000F_DK2_H2.109,219719,220268,218561
000000F_DK2_H2,+,220104,220128,000000F_DK2_H2.109,220128,220268,218561
000000F_DK2_H2,+,222122,222143,000000F_DK2_H2.111,222143,222823,221426
000000F_DK2_H2,+,222607,222636,000000F_DK2_H2.111,222636,222823,221426
000000F_DK2_H2,+,233201,233225,000000F_DK2_H2.115,233225,233941,232906
000000F_DK2_H2,+,248720,248742,000000F_DK2_H2.128,248742,248963,248719
000001F_DK2_H1,+,1623,1661,000001F_DK2_H1.1,1661,2373,1290
000001F_DK2_H1,+,12068,12089,000001F_DK2_H1.6,12089,13439,8568
000001F_DK2_H1,+,13127,13149,000001F_DK2_H1.6,13149,13439,8568
000001F_DK2_H1,+,14529,14551,000001F_DK2_H1.8,14551,14915,14308
000001F_DK2_H1,+,18715,18739,000001F_DK2_H1.11,18739,23166,18536
000001F_DK2_H1,+,18970,18994,000001F_DK2_H1.11,18994,23166,18536
000001F_DK2_H1,+,19706,19728,000001F_DK2_H1.11,19728,23166,18536
000001F_DK2_H1,+,20524,20549,000001F_DK2_H1.11,20549,23166,18536
000001F_DK2_H1,+,22502,22524,000001F_DK2_H1.11,22524,23166,18536
000001F_DK2_H1,+,22829,22850,000001F_DK2_H1.11,22850,23166,18536
000001F_DK2_H1,+,23452,23468,000001F_DK2_H1.12,23468,27006,23443
000001F_DK2_H1,+,24716,24740,000001F_DK2_H1.12,24740,27006,23443
000001F_DK2_H1,+,24846,24867,000001F_DK2_H1.12,24867,27006,23443
000001F_DK2_H1,+,25010,25102,000001F_DK2_H1.12,25102,27006,23443
000001F_DK2_H1,+,25170,25193,000001F_DK2_H1.12,25193,27006,23443
000001F_DK2_H1,+,25355,25401,000001F_DK2_H1.12,25401,27006,23443
000001F_DK2_H1,+,26113,26134,000001F_DK2_H1.12,26134,27006,23443
000001F_DK2_H1,+,26418,26438,000001F_DK2_H1.12,26438,27006,23443
000001F_DK2_H1,+,26571,26597,000001F_DK2_H1.12,26597,27006,23443
000001F_DK2_H1,+,30550,30573,000001F_DK2_H1.13,30573,30710,28098
000001F_DK2_H1,+,40426,40453,000001F_DK2_H1.16,40453,41861,40393
000001F_DK2_H1,+,82326,82348,000001F_DK2_H1.25,82348,85093,82143
000001F_DK2_H1,+,82542,82563,000001F_DK2_H1.25,82563,85093,82143
000001F_DK2_H1,+,84124,84161,000001F_DK2_H1.25,84161,85093,82143
000001F_DK2_H1,+,84916,84937,000001F_DK2_H1.25,84937,85093,82143
000001F_DK2_H1,+,99441,99464,000001F_DK2_H1.39,99464,99683,99163
000001F_DK2_H1,+,107868,107960,000001F_DK2_H1.44,107960,108608,107800
000001F_DK2_H1,+,108143,108165,000001F_DK2_H1.44,108165,108608,107800
000001F_DK2_H1,+,112662,112684,000001F_DK2_H1.54,112684,113108,112092
000001F_DK2_H1,+,112826,112899,000001F_DK2_H1.54,112899,113108,112092
000001F_DK2_H1,+,158433,158454,000001F_DK2_H1.73,158454,160466,158285
000001F_DK2_H1,+,159144,159167,000001F_DK2_H1.73,159167,160466,158285
000001F_DK2_H1,+,160930,160953,000001F_DK2_H1.74,160953,161945,160496
000001F_DK2_H1,+,161763,161785,000001F_DK2_H1.74,161785,161945,160496
000001F_DK2_H1,+,162920,162948,000001F_DK2_H1.76,162948,163121,162290
000001F_DK2_H1,+,166056,166078,000001F_DK2_H1.80,166078,167207,165553
000001F_DK2_H1,+,166231,166252,000001F_DK2_H1.80,166252,167207,165553
000001F_DK2_H1,+,170340,170367,000001F_DK2_H1.83,170367,170378,170129
000001F_DK2_H1,+,171503,171528,000001F_DK2_H1.85,171528,171822,171501
000001F_DK2_H1,+,176793,176815,000001F_DK2_H1.90,176815,177280,176598
000001F_DK2_H1,+,179576,179597,000001F_DK2_H1.93,179597,181061,179243
000001F_DK2_H1,+,179849,179869,000001F_DK2_H1.93,179869,181061,179243
000001F_DK2_H1,+,179998,180020,000001F_DK2_H1.93,180020,181061,179243
000001F_DK2_H1,+,180114,180139,000001F_DK2_H1.93,180139,181061,179243
000001F_DK2_H1,+,180300,180331,000001F_DK2_H1.93,180331,181061,179243
000001F_DK2_H1,+,180662,180684,000001F_DK2_H1.93,180684,181061,179243
000001F_DK2_H1,+,180857,180879,000001F_DK2_H1.93,180879,181061,179243
000001F_DK2_H1,+,182152,182174,000001F_DK2_H1.94,182174,182452,181881
000001F_DK2_H1,+,182972,182992,000001F_DK2_H1.95,182992,184297,182626
000001F_DK2_H1,+,183125,183146,000001F_DK2_H1.95,183146,184297,182626
000001F_DK2_H1,+,183831,183906,000001F_DK2_H1.95,183906,184297,182626
000001F_DK2_H1,+,183949,183977,000001F_DK2_H1.95,183977,184297,182626
000001F_DK2_H1,+,184127,184149,000001F_DK2_H1.95,184149,184297,182626
000001F_DK2_H1,+,186347,186375,000001F_DK2_H1.100,186375,186452,186221
000001F_DK2_H1,+,191673,191689,000001F_DK2_H1.104,191689,193088,191488
000001F_DK2_H1,+,191812,191834,000001F_DK2_H1.104,191834,193088,191488
000001F_DK2_H1,+,192124,192141,000001F_DK2_H1.104,192141,193088,191488
000001F_DK2_H1,+,192524,192562,000001F_DK2_H1.104,192562,193088,191488
000001F_DK2_H1,+,192869,192892,000001F_DK2_H1.104,192892,193088,191488
000001F_DK2_H1,+,193439,193499,000001F_DK2_H1.105,193499,194007,193090
000001F_DK2_H1,+,193851,193939,000001F_DK2_H1.105,193939,194007,193090
000001F_DK2_H2,+,15418,15438,000001F_DK2_H2.9,15438,17830,14937
000001F_DK2_H2,+,16408,16430,000001F_DK2_H2.9,16430,17830,14937
000001F_DK2_H2,+,16581,16616,000001F_DK2_H2.9,16616,17830,14937
000001F_DK2_H2,+,17105,17131,000001F_DK2_H2.9,17131,17830,14937
000001F_DK2_H2,+,34112,34136,000001F_DK2_H2.15,34136,40392,32751
000001F_DK2_H2,+,34243,34267,000001F_DK2_H2.15,34267,40392,32751
000001F_DK2_H2,+,34570,34591,000001F_DK2_H2.15,34591,40392,32751
000001F_DK2_H2,+,35830,35853,000001F_DK2_H2.15,35853,40392,32751
000001F_DK2_H2,+,35986,36010,000001F_DK2_H2.15,36010,40392,32751
000001F_DK2_H2,+,40019,40042,000001F_DK2_H2.15,40042,40392,32751
000001F_DK2_H2,+,46173,46195,000001F_DK2_H2.18,46195,53909,44815
000001F_DK2_H2,+,46302,46326,000001F_DK2_H2.18,46326,53909,44815
000001F_DK2_H2,+,46629,46653,000001F_DK2_H2.18,46653,53909,44815
000001F_DK2_H2,+,47892,47915,000001F_DK2_H2.18,47915,53909,44815
000001F_DK2_H2,+,48048,48072,000001F_DK2_H2.18,48072,53909,44815
000001F_DK2_H2,+,52066,52090,000001F_DK2_H2.18,52090,53909,44815
000001F_DK2_H2,+,52339,52364,000001F_DK2_H2.18,52364,53909,44815
000001F_DK2_H2,+,52478,52501,000001F_DK2_H2.18,52501,53909,44815
000001F_DK2_H2,+,55311,55333,000001F_DK2_H2.19,55333,63238,54112
000001F_DK2_H2,+,55614,55636,000001F_DK2_H2.19,55636,63238,54112
000001F_DK2_H2,+,55936,55956,000001F_DK2_H2.19,55956,63238,54112
000001F_DK2_H2,+,57204,57227,000001F_DK2_H2.19,57227,63238,54112
000001F_DK2_H2,+,57360,57385,000001F_DK2_H2.19,57385,63238,54112
000001F_DK2_H2,+,61415,61439,000001F_DK2_H2.19,61439,63238,54112
000001F_DK2_H2,+,61688,61711,000001F_DK2_H2.19,61711,63238,54112
000001F_DK2_H2,+,61825,61849,000001F_DK2_H2.19,61849,63238,54112
000001F_DK2_H2,+,92458,92486,000001F_DK2_H2.35,92486,95066,92049
000001F_DK2_H2,+,92678,92704,000001F_DK2_H2.35,92704,95066,92049
000001F_DK2_H2,+,92810,92831,000001F_DK2_H2.35,92831,95066,92049
000001F_DK2_H2,+,93047,93071,000001F_DK2_H2.35,93071,95066,92049
000001F_DK2_H2,+,107940,107961,000001F_DK2_H2.44,107961,111546,107878
000001F_DK2_H2,+,108144,108166,000001F_DK2_H2.44,108166,111546,107878
000001F_DK2_H2,+,111118,111140,000001F_DK2_H2.44,111140,111546,107878
000001F_DK2_H2,+,111346,111369,000001F_DK2_H2.44,111369,111546,107878
000001F_DK2_H2,+,111437,111464,000001F_DK2_H2.44,111464,111546,107878
000001F_DK2_H2,+,113237,113261,000001F_DK2_H2.47,113261,115186,112902
000001F_DK2_H2,+,113809,113833,000001F_DK2_H2.47,113833,115186,112902
000001F_DK2_H2,+,114946,114973,000001F_DK2_H2.47,114973,115186,112902
000001F_DK2_H2,+,115606,115629,000001F_DK2_H2.48,115629,116090,115258
000001F_DK2_H2,+,115701,115726,000001F_DK2_H2.48,115726,116090,115258
000001F_DK2_H2,+,115924,115946,000001F_DK2_H2.48,115946,116090,115258
000001F_DK2_H2,+,120112,120137,000001F_DK2_H2.52,120137,121143,120058
000001F_DK2_H2,+,120365,120389,000001F_DK2_H2.52,120389,121143,120058
000001F_DK2_H2,+,120552,120574,000001F_DK2_H2.52,120574,121143,120058
000001F_DK2_H2,+,121339,121361,000001F_DK2_H2.53,121361,124380,121156
000001F_DK2_H2,+,121982,122004,000001F_DK2_H2.53,122004,124380,121156
000001F_DK2_H2,+,123619,123641,000001F_DK2_H2.53,123641,124380,121156
000001F_DK2_H2,+,123804,123828,000001F_DK2_H2.53,123828,124380,121156
000001F_DK2_H2,+,123989,124010,000001F_DK2_H2.53,124010,124380,121156
000001F_DK2_H2,+,124173,124195,000001F_DK2_H2.53,124195,124380,121156
000001F_DK2_H2,+,138184,138205,000001F_DK2_H2.58,138205,139418,138111
000001F_DK2_H2,+,138372,138393,000001F_DK2_H2.58,138393,139418,138111
000001F_DK2_H2,+,138479,138503,000001F_DK2_H2.58,138503,139418,138111
000001F_DK2_H2,+,138809,138828,000001F_DK2_H2.58,138828,139418,138111
000001F_DK2_H2,+,139043,139067,000001F_DK2_H2.58,139067,139418,138111
000001F_DK2_H2,+,139283,139305,000001F_DK2_H2.58,139305,139418,138111
000001F_DK2_H2,+,139474,139497,000001F_DK2_H2.59,139497,142856,139420
000001F_DK2_H2,+,139628,139653,000001F_DK2_H2.59,139653,142856,139420
000001F_DK2_H2,+,139938,139960,000001F_DK2_H2.59,139960,142856,139420
000001F_DK2_H2,+,140636,140663,000001F_DK2_H2.59,140663,142856,139420
000001F_DK2_H2,+,141112,141134,000001F_DK2_H2.59,141134,142856,139420
000001F_DK2_H2,+,141359,141384,000001F_DK2_H2.59,141384,142856,139420
000001F_DK2_H2,+,142136,142158,000001F_DK2_H2.59,142158,142856,139420
000001F_DK2_H2,+,142321,142346,000001F_DK2_H2.59,142346,142856,139420
000001F_DK2_H2,+,148880,148907,000001F_DK2_H2.62,148907,150650,148772
000001F_DK2_H2,+,149054,149077,000001F_DK2_H2.62,149077,150650,148772
000001F_DK2_H2,+,149248,149272,000001F_DK2_H2.62,149272,150650,148772
000001F_DK2_H2,+,150499,150522,000001F_DK2_H2.62,150522,150650,148772
000001F_DK2_H2,+,163832,163849,000001F_DK2_H2.70,163849,165537,163759
000001F_DK2_H2,+,164051,164074,000001F_DK2_H2.70,164074,165537,163759
000001F_DK2_H2,+,172445,172469,000001F_DK2_H2.77,172469,172701,172220
000001F_DK2_H2,+,172797,172821,000001F_DK2_H2.78,172821,173544,172795
000001F_DK2_H2,+,172892,172915,000001F_DK2_H2.78,172915,173544,172795
000001F_DK2_H2,+,173109,173145,000001F_DK2_H2.78,173145,173544,172795
